DateTime,AddedIPs,RemovedIPs
1510083862,8,0
1510084569,5,8
1510085309,5,5
1510087251,24,15
1510088186,7,8
1510088887,2,5
1510089635,5,5
1510090335,5,2
1510091065,10,6
1510091779,5,10
1510092504,5,8
1510093461,10,2
1510094185,10,5
1510094909,7,0
1510095621,5,5
1510096335,3,0
1510097307,5,7
1510098010,5,0
1510098736,9,0
1510099464,7,13
1510100439,3,6
1510101136,4,0
1510101856,10,5
1510102853,9,10
1510103530,3,0
1510104256,5,15
1510105230,7,12
1510106186,7,0
1510107159,9,19
1510108099,7,4
1510109068,19,0
1510110047,13,10
1510111051,10,4
1510111954,9,2
1510112904,10,0
1510113883,3,16
1510114839,14,4
1510115791,10,6
1510116748,9,8
1510117709,15,2
1510118679,8,7
1510119372,6,0
1510120106,9,6
1510120823,7,3
1510121555,2,3
1510122520,9,7
1510123208,7,3
1510123939,8,0
1510124662,11,8
1510125398,9,6
1510126360,7,0
1510127077,8,8
1510127785,7,4
1510128503,2,5
1510129214,9,5
1510129955,6,13
1510130653,4,2
1510131370,6,2
1510132347,5,16
1510133315,13,3
1510134279,7,3
1510135236,7,2
1510136197,7,5
1510136887,6,0
1510137649,4,10
1510138338,7,0
1510139062,5,6
1510140031,8,2
1510140992,10,5
1510141956,8,2
1510142928,17,4
1510143858,5,0
1510144835,8,5
1510145793,7,5
1510146747,4,4
1510147695,10,12
1510148669,9,7
1510149640,9,10
1510150345,7,0
1510151059,5,6
1510151770,4,4
1510152515,3,5
1510153475,6,11
1510154454,11,7
1510155391,9,8
1510156348,8,16
1510157326,6,7
1510158011,5,0
1510158754,12,7
1510159450,8,2
1510160174,13,4
1510161156,4,2
1510161868,15,6
1510162579,8,10
1510163293,2,8
1510164062,6,3
1510165003,10,0
1510166930,27,12
1510167622,9,2
1510168350,0,6
1510169302,12,4
1510170007,10,0
1510170752,5,22
1510171458,4,0
1510172177,2,0
1510173146,9,5
1510173852,8,6
1510174588,6,3
1510175300,4,6
1510176034,9,4
1510176744,7,14
1510177457,1,6
1510178169,5,12
1510178913,3,3
1510179878,13,7
1510180834,6,6
1510181541,10,1
1510182266,1,3
1510182973,1,1
1510183960,12,12
1510184672,1,0
1510185394,5,7
1510186320,2,6
1510187308,6,9
1510188274,10,9
1510188992,3,6
1510190415,7,9
1510191159,7,15
1510191855,6,11
1510192582,9,0
1510193300,10,9
1510194042,6,5
1510194995,12,2
1510195703,14,7
1510196463,10,6
1510197154,4,2
1510197871,15,4
1510198830,9,8
1510199543,6,5
1510200468,6,2
1510201210,9,6
1510202223,10,9
1510203146,9,7
1510203858,6,3
1510204468,7,3
1510205427,10,4
1510206374,6,11
1510207360,7,3
1510208313,5,4
1510209262,10,5
1510209935,3,3
1510210955,13,6
1510211915,6,11
1510212744,9,5
1510213451,2,4
1510214309,9,4
1510214916,3,6
1510215862,8,2
1510216582,8,1
1510217305,3,3
1510218020,5,4
1510218740,1,8
1510220459,12,7
1510221130,6,3
1510221856,4,4
1510222605,12,6
1510223308,6,0
1510224012,6,2
1510224727,7,4
1510225468,5,6
1510226435,8,10
1510227390,13,0
1510228105,3,2
1510228825,5,0
1510229789,6,11
1510230492,4,3
1510231232,6,3
1510231941,5,4
1510232668,9,0
1510233371,11,10
1510234101,4,8
1510235075,6,7
1510236049,4,2
1510236743,2,0
1510237454,3,10
1510238171,5,11
1510238907,8,1
1510239879,8,3
1510240833,7,9
1510241799,7,17
1510242746,11,0
1510243454,5,5
1510244187,3,14
1510244903,7,7
1510245627,5,0
1510246338,8,4
1510247060,13,5
1510247772,5,3
1510248496,10,0
1510249226,8,8
1510249927,6,0
1510250662,4,11
1510251398,2,0
1510252101,9,10
1510253053,11,0
1510254035,11,21
1510254728,6,0
1510255473,5,15
1510256429,11,12
1510257140,4,0
1510257861,5,9
1510258573,10,5
1510259302,10,2
1510260021,2,5
1510260742,11,6
1510261457,6,5
1510262172,1,0
1510263162,10,22
1510264118,6,5
1510264808,6,10
1510266252,8,11
1510268493,16,14
1510269134,3,0
1510269853,1,7
1510270568,3,3
1510271292,8,6
1510272032,3,4
1510272929,1,9
1510273692,12,3
1510274423,8,9
1510275137,4,4
1510275882,1,9
1510276833,3,8
1510277543,5,14
1510278265,1,16
1510278968,4,7
1510279713,4,5
1510280666,9,0
1510281627,15,2
1510282340,10,6
1510283063,7,4
1510283776,2,5
1510284512,6,9
1510285468,8,2
1510286432,3,5
1510287142,3,9
1510287875,6,10
1510288582,5,0
1510289305,4,5
1510290272,4,4
1510290987,11,0
1510291712,7,6
1510292411,5,3
1510293133,5,2
1510293856,5,6
1510294589,5,3
1510295299,9,4
1510296033,5,6
1510296730,8,0
1510297465,8,4
1510298185,8,6
1510298907,4,3
1510299861,8,4
1510300837,12,2
1510302037,10,9
1510302743,6,0
1510303702,12,7
1510304430,8,3
1510305152,2,3
1510305852,8,3
1510306573,3,3
1510307547,6,1
1510308263,4,1
1510308994,5,4
1510309708,6,5
1510310413,1,3
1510311582,11,7
1510312340,2,0
1510313052,6,5
1510313782,1,8
1510314505,4,4
1510315238,4,7
1510315938,6,3
1510316658,7,2
1510317374,11,7
1510318096,5,1
1510319069,3,2
1510319780,1,3
1510320508,11,4
1510321210,7,9
1510321942,6,0
1510322908,7,12
1510323680,7,0
1510324345,3,2
1510325065,5,1
1510325767,6,4
1510326488,5,2
1510327229,6,7
1510327949,7,5
1510328654,6,12
1510329378,5,0
1510330132,1,9
1510330808,7,0
1510331535,8,3
1510332512,9,5
1510333232,8,4
1510333957,6,4
1510334906,21,9
1510335872,6,2
1510336839,6,7
1510337811,11,4
1510338753,8,12
1510339450,3,0
1510340175,5,4
1510340888,2,5
1510341643,9,12
1510342333,6,5
1510343056,7,1
1510343778,2,5
1510344503,5,10
1510345477,14,5
1510346187,7,12
1510346903,2,1
1510347609,9,4
1510348347,4,5
1510349317,1,5
1510350008,1,4
1510350737,5,6
1510351456,5,7
1510352203,9,3
1510353166,11,12
1510355570,10,20
1510356251,8,10
1510356997,3,8
1510357947,10,10
1510358661,2,0
1510359337,2,8
1510360096,4,5
1510360833,8,3
1510361542,9,5
1510362260,5,3
1510362986,12,8
1510363710,4,14
1510364409,5,7
1510365135,9,13
1510365856,6,7
1510366590,6,7
1510367303,8,6
1510368032,8,3
1510368982,12,5
1510369949,10,8
1510370652,7,0
1510371383,5,12
1510372102,4,4
1510372849,6,9
1510373794,9,3
1510374753,13,4
1510375450,6,0
1510376187,3,3
1510376904,8,4
1510377616,8,2
1510378335,6,3
1510379056,9,8
1510379779,4,7
1510380502,5,3
1510381209,8,6
1510381934,7,6
1510382658,6,10
1510383381,6,5
1510384358,9,1
1510385049,5,8
1510385785,7,4
1510386507,3,0
1510387225,2,7
1510388191,10,4
1510389154,6,3
1510389863,10,4
1510390579,8,2
1510391288,6,4
1510392030,6,6
1510392991,8,7
1510393688,6,0
1510394447,4,14
1510395140,3,0
1510395853,4,6
1510396827,4,4
1510397545,6,0
1510398264,9,4
1510398970,7,3
1510399711,6,4
1510400661,8,8
1510401382,7,0
1510402109,10,4
1510402808,10,0
1510403549,6,9
1510404515,8,1
1510405230,11,7
1510405950,13,3
1510406652,2,5
1510407379,7,10
1510408351,7,8
1510409056,7,7
1510409786,11,0
1510410491,7,3
1510411230,4,1
1510412189,9,4
1510413150,5,8
1510414109,11,5
1510414809,6,4
1510415563,7,15
1510416261,5,0
1510417237,9,0
1510418199,13,14
1510418892,7,10
1510419637,4,3
1510420343,11,4
1510421055,6,0
1510422026,5,17
1510424461,28,14
1510425143,5,6
1510425853,6,3
1510426567,5,2
1510427291,6,6
1510428031,0,6
1510428740,12,7
1510429453,4,0
1510430179,6,12
1510430906,8,8
1510431609,8,0
1510432346,3,6
1510433052,4,5
1510433770,5,4
1510434744,7,5
1510435703,2,12
1510436671,13,4
1510437366,7,3
1510438093,1,10
1510438810,3,0
1510439547,9,8
1510440251,5,6
1510440981,3,7
1510441718,9,6
1510442429,7,0
1510443132,4,6
1510443853,5,14
1510444569,6,7
1510445492,4,10
1510446258,5,5
1510447224,7,4
1510448187,9,10
1510448897,4,4
1510449620,2,4
