DateTime,Entries,UniqueIPs
1510084569,18872,19003
1510085309,18874,19005
1510087251,18882,19013
1510088186,18887,19018
1510088887,18876,19007
1510089635,18870,19001
1510090335,18876,19007
1510091065,18869,19000
1510091779,18860,18991
1510092504,18866,18997
1510093461,18862,18993
1510094185,18864,18995
1510094909,18873,19004
1510095621,18875,19006
1510096335,18874,19005
1510097307,18872,19003
1510098010,18868,18999
1510098736,18876,19007
1510099464,18876,19007
1510100439,18871,19002
1510101136,18875,19006
1510101856,18883,19014
1510102853,18874,19005
1510103530,18879,19010
1510104256,18878,19009
1510105230,18877,19008
1510106186,18869,19000
1510107159,18867,18998
1510108099,18867,18998
1510109068,18872,19003
1510110047,18884,19015
1510111051,18880,19011
1510111954,18885,19016
1510112904,18880,19009
1510113883,18882,19012
1510114839,18889,19019
1510115791,18891,19021
1510116748,18891,19021
1510117709,18898,19029
1510118679,18896,19026
1510119372,18895,19025
1510120106,18897,19027
1510120823,18897,19027
1510121555,18899,19029
1510122520,18893,19023
1510123208,18896,19026
1510123939,18903,19033
1510124662,18908,19038
1510125398,18918,19048
1510126360,18915,19045
1510127077,18921,19051
1510127785,18925,19055
1510128503,18924,19054
1510129214,18933,19063
1510129955,18932,19062
1510130653,18938,19068
1510131370,18928,19058
1510132347,18923,19053
1510133315,18928,19058
1510134279,18924,19054
1510135236,18923,19053
1510136197,18919,19049
1510136887,18926,19056
1510137649,18922,19052
1510138338,18924,19054
1510139062,18924,19054
1510140031,18924,19054
1510140992,18922,19051
1510141956,18927,19056
1510142928,18935,19064
1510143858,18929,19058
1510144835,18931,19061
1510145793,18930,19060
1510146747,18936,19066
1510147695,18936,19066
1510148669,18945,19075
1510149640,18937,19067
1510150345,18944,19074
1510151059,18945,19075
1510151770,18947,19077
1510152515,18942,19072
1510153475,18949,19079
1510154454,18945,19075
1510155391,18952,19082
1510156348,18955,19085
1510157326,18937,19067
1510158011,18942,19072
1510158754,18955,19086
1510159450,18955,19086
1510160174,18963,19094
1510161156,18955,19086
1510161868,18957,19088
1510162579,18957,19088
1510163293,18960,19091
1510164062,18968,19099
1510165003,18961,19092
1510166930,18974,19105
1510167622,18984,19115
1510168350,18969,19100
1510169302,18980,19111
1510170007,18986,19117
1510170752,18981,19112
1510171458,18985,19116
1510172177,18979,19110
1510173146,18982,19113
1510173852,18980,19111
1510174588,18970,19101
1510175300,18974,19105
1510176034,18964,19095
1510176744,18972,19103
1510177457,18968,19099
1510178169,18967,19098
1510178913,18952,19083
1510179878,18968,19099
1510180834,18953,19084
1510181541,18965,19097
1510182266,18952,19084
1510182973,18945,19077
1510183960,18959,19091
1510184672,18951,19083
1510185394,18954,19086
1510186320,18945,19077
1510187308,18944,19077
1510188274,18951,19084
1510188992,18944,19077
1510190415,18940,19073
1510191159,18938,19072
1510191855,18937,19071
1510192582,18945,19079
1510193300,18948,19082
1510194042,18945,19079
1510194995,18948,19082
1510195703,18956,19090
1510196463,18960,19094
1510197154,18951,19085
1510197871,18955,19089
1510198830,18951,19087
