DateTime,Entries,UniqueIPs
1510084569,11131,11131
1510085309,11135,11135
1510087251,11137,11137
1510088186,11116,11116
1510088887,11108,11108
1510089635,11106,11106
1510090335,11029,11029
1510091065,11074,11074
1510091779,11071,11071
1510092504,11081,11081
1510093461,11032,11032
1510094185,11053,11053
1510094909,11051,11051
1510095621,11045,11045
1510096335,11026,11026
1510097307,11031,11031
1510098010,11006,11006
1510098736,11016,11016
1510099464,10993,10993
1510100439,11006,11006
1510101136,10988,10988
1510101856,11006,11006
1510102853,10988,10988
1510103530,10928,10928
1510104256,10971,10971
1510105230,10978,10978
1510106186,10967,10967
1510107159,10948,10948
1510108099,10938,10938
1510109068,10948,10948
1510110047,10907,10907
1510111051,10918,10918
1510111954,10927,10927
1510112904,10933,10933
1510113883,10619,10619
1510114839,10507,10507
1510115791,10494,10494
1510116748,10461,10461
1510117709,10481,10481
1510118679,10466,10466
1510119372,10482,10482
1510120106,10494,10494
1510120823,10489,10489
1510121555,10470,10470
1510122520,10500,10500
1510123208,10512,10512
1510123939,10495,10495
1510124662,10524,10524
1510125398,10508,10508
1510126360,10523,10523
1510127077,10506,10506
1510127785,10524,10524
1510128503,10522,10522
1510129214,10524,10524
1510129955,10512,10512
1510130653,10527,10527
1510131370,10510,10510
1510132347,10518,10518
1510133315,10496,10496
1510134279,10503,10503
1510135236,10500,10500
1510136197,10485,10485
1510136887,10491,10491
1510137649,10523,10523
1510138338,10470,10470
1510139062,10488,10488
1510140031,10502,10502
1510140992,10507,10507
1510141956,10463,10463
1510142928,10510,10510
1510143858,10525,10525
1510144835,10544,10544
1510145793,10535,10535
1510146747,10518,10518
1510147695,10556,10556
1510148669,10534,10534
1510149640,10545,10545
1510150345,10530,10530
1510151059,10540,10540
1510151770,10555,10555
1510152515,10565,10565
1510153475,10552,10552
1510154454,10568,10568
1510155391,10532,10532
1510156348,10570,10570
1510157326,10585,10585
1510158011,10590,10590
1510158754,10613,10613
1510159450,10605,10605
1510160174,10597,10597
1510161156,10607,10607
1510161868,10609,10609
1510162579,10625,10625
1510163293,10629,10629
1510164062,10646,10646
1510165003,10601,10601
1510166930,10643,10643
1510167622,10645,10645
1510168350,10607,10607
1510169302,10633,10633
1510170007,10643,10643
1510170752,10643,10643
1510171458,10643,10643
1510172177,10593,10593
1510173146,10613,10613
1510173852,10630,10630
1510174588,10635,10635
1510175300,10621,10621
1510176034,10608,10608
1510176744,10609,10609
1510177457,10600,10600
1510178169,10612,10612
1510178913,10475,10475
1510179878,9875,9875
1510180834,9927,9927
1510181541,9947,9947
1510182266,9921,9921
1510182973,9903,9903
1510183960,9901,9901
1510184672,9880,9880
1510185394,9895,9895
1510186320,9864,9864
1510187308,9886,9886
1510188274,9881,9881
1510188992,9892,9892
1510190415,9787,9787
1510191159,9789,9789
1510191855,9796,9796
1510192582,9794,9794
1510193300,9795,9795
1510194042,9776,9776
1510194995,9787,9787
1510195703,9796,9796
1510196463,9794,9794
1510197154,9741,9741
1510197871,9768,9768
1510198830,9778,9778
1510199543,9758,9758
1510200468,9759,9759
1510201210,9742,9742
1510202223,9721,9721
1510203146,9737,9737
1510203858,9742,9742
1510204468,9736,9736
1510205427,9740,9740
1510206374,9747,9747
1510207360,9734,9734
1510208313,9600,9600
1510209262,9591,9591
1510209935,9556,9556
1510210955,9550,9550
1510211915,9570,9570
1510212744,9435,9435
1510213451,9433,9433
1510214309,9435,9435
1510214916,9423,9423
1510215862,9418,9418
1510216582,9450,9450
1510217305,9428,9428
1510218020,9432,9432
1510218740,9443,9443
1510220459,9485,9485
1510221130,9561,9561
1510221856,9567,9567
1510222605,9616,9616
1510223308,9629,9629
1510224012,9655,9655
1510224727,9682,9682
1510225468,9697,9697
1510226435,9715,9715
1510227390,9740,9740
1510228105,9749,9749
1510228825,9735,9735
1510229789,9698,9698
1510230492,9704,9704
1510231232,9713,9713
1510231941,9699,9699
1510232668,9718,9718
1510233371,9730,9730
1510234101,9726,9726
1510235075,9739,9739
1510236049,9670,9670
1510236743,9700,9700
1510237454,9711,9711
1510238171,9683,9683
1510238907,9673,9673
1510239879,9693,9693
1510240833,9707,9707
1510241799,9694,9694
1510242746,9730,9730
1510243454,9734,9734
1510244187,9737,9737
1510244903,9743,9743
1510245627,9759,9759
1510246338,9762,9762
1510247060,9759,9759
1510247772,9770,9770
1510248496,9768,9768
1510249226,9789,9789
1510249927,9785,9785
1510250662,9775,9775
1510251398,9756,9756
1510252101,9802,9802
1510253053,9807,9807
1510254035,9794,9794
1510254728,9726,9726
1510255473,9782,9782
1510256429,9792,9792
1510257140,9801,9801
1510257861,9802,9802
1510258573,9812,9812
1510259302,9799,9799
1510260021,9817,9817
1510260742,9819,9819
1510261457,9824,9824
1510262172,9805,9805
1510263162,9791,9791
1510264118,9793,9793
1510264808,9777,9777
1510265536,9757,9757
1510266252,9770,9770
1510268493,9751,9751
1510269134,9731,9731
1510269853,9743,9743
1510270568,9728,9728
1510271292,9726,9726
1510272032,9738,9738
1510272929,9719,9719
1510273692,9758,9758
1510274423,9763,9763
1510275137,9741,9741
1510275882,9743,9743
1510276833,9734,9734
1510277543,9712,9712
1510278265,9710,9710
1510278968,9696,9696
1510279713,9699,9699
1510280666,9688,9688
1510281627,9676,9676
1510282340,9672,9672
1510283063,9679,9679
1510283776,9685,9685
1510284512,9685,9685
1510285468,9688,9688
1510286432,9670,9670
1510287142,9658,9658
1510287875,9682,9682
1510288582,9677,9677
1510289305,9662,9662
1510290272,9653,9653
1510290987,9662,9662
1510291712,9660,9660
1510292411,9687,9687
