DateTime,Entries,UniqueIPs
1509915390,9411,9411
1509916237,9414,9414
1509918151,9435,9435
1509919168,9440,9440
1509920115,8244,8244
1509921041,9450,9450
1509921842,9452,9452
1509922728,9455,9455
1509923666,9458,9458
1509924490,9462,9462
1509926514,9460,9460
1509928227,9450,9450
1509928949,9449,9449
1509929938,9449,9449
1509930876,9450,9450
1509931829,9448,9448
1509932549,9444,9444
1509933385,9452,9452
1509934239,9452,9452
1509935313,9453,9453
1509936331,9439,9439
1509937272,9442,9442
1509938132,9445,9445
1509939465,9443,9443
1509940530,9444,9444
1509941433,9440,9440
1509941670,9441,9441
1509942628,9441,9441
1509943350,9439,9439
1509945272,9457,9457
1509946106,9464,9464
1509946959,9465,9465
1509947790,9467,9467
1509948641,9465,9465
1509949838,9468,9468
1509950559,9469,9469
1509952465,9475,9475
1509953317,9481,9481
1509954332,9479,9479
1509954990,9485,9485
1509955835,9488,9488
1509956921,9491,9491
1509957949,9480,9480
1509958591,9481,9481
1509959434,9480,9480
1509959672,9481,9481
1509960633,9477,9477
1509961362,9478,9478
1509963271,9481,9481
1509964251,9483,9483
1509965137,9490,9490
1509966344,9493,9493
1509966857,8244,8244
1509967713,9506,9506
1509968552,9505,9505
1509970233,9509,9509
1509971304,9513,9513
1509972334,9510,9510
1509972987,9514,9514
1509973835,9517,9517
1509975635,9523,9523
1509976452,9527,9527
1509977312,8244,8244
1509978181,9530,9530
1509979239,9533,9533
1509980130,9538,9538
1509981029,9540,9540
1509982103,9545,9545
1509982959,9543,9543
1509985239,9551,9551
1509985703,9552,9552
1509986537,8244,8244
1509987651,9545,9545
1509988540,9546,9546
1509989436,9547,9547
1509990989,9546,9546
1509992063,9542,9542
1509993015,9539,9539
1509994462,9542,9542
1509995312,9537,9537
1509995664,9541,9541
1509996632,9540,9540
1509997539,9548,9548
1509999041,9551,9551
1510000068,8244,8244
1510001135,9554,9554
1510002641,9552,9552
1510005383,9556,9556
1510006218,8244,8244
1510006471,9554,9554
