DateTime,AddedIPs,RemovedIPs
1509889554,10,1
1509891274,25,7
1509892114,20,0
1509893150,13,7
1509893793,13,0
1509894645,10,4
1509895843,12,4
1509896558,13,2
1509897694,19,2
1509898545,13,0
1509899315,12,0
1509900344,6,7
1509901401,8,5
1509902445,23,0
1509903762,12,6
1509905446,26,5
1509907542,10,5
1509911327,20,8
1509913246,23,4
1509914135,14,2
1509914561,5,2
1509915399,6,0
1509916247,4,1
1509918161,20,2
1509919178,7,2
1509920133,8,0
1509921054,0,2
1509921869,2,0
1509922742,2,1
1509923677,5,1
1509924500,2,0
1509926526,7,7
1509928239,4,12
1509928961,2,1
1509929987,1,3
1509930886,2,0
1509931847,4,6
1509932558,3,7
1509933394,5,0
1509934250,2,3
1509935329,1,0
1509936355,1,14
1509937300,3,2
1509938142,2,0
1509939474,7,9
1509940539,3,4
1509941443,2,6
1509941682,1,0
1509942638,6,5
1509943359,2,5
1509945282,19,2
1509946117,7,2
1509946968,5,6
1509947797,2,0
1509948653,2,5
1509949854,8,4
1509950570,4,2
1509952475,10,2
1509953326,7,1
1509954342,5,7
1509954999,6,0
1509955845,7,4
1509956935,1,0
1509957964,0,8
1509958601,1,0
1509959443,1,2
1509959683,1,0
1509960643,2,4
1509961373,2,3
1509963282,4,3
1509964264,2,0
1509965147,6,1
1509966354,3,2
1509966865,5,0
1509967723,8,0
1509968562,2,4
1509970243,4,1
1509971313,3,0
1509972344,3,4
1509972996,4,0
1509973844,4,1
1509975647,10,2
1509976470,2,0
1509977323,2,1
1509978190,3,0
1509979248,6,3
1509980139,4,0
1509981038,3,0
1509982112,4,0
1509982969,4,4
1509985248,8,2
1509986556,4,5
1509987683,1,3
1509988555,1,0
1509989445,2,1
1509990998,0,2
1509993042,2,8
1509994477,3,3
1509995321,2,4
1509995674,3,0
1509996642,8,7
1509997549,8,0
1509999050,10,7
1510000080,4,1
1510001145,2,4
1510002650,0,3
1510005392,3,1
1510006232,1,2
1510007436,1,2
1510008341,3,1
1510009279,0,4
1510010144,3,0
1510010923,1,0
1510012026,5,5
1510013444,4,3
1510015358,0,4
1510017042,1,5
1510017918,1,1
1510018843,3,9
1510019745,1,1
1510020698,2,4
1510022215,4,4
1510024544,8,7
1510025438,0,6
1510027660,6,7
1510028731,3,1
1510029767,5,7
1510031677,3,10
1510033173,2,6
1510034706,7,1
1510035650,5,0
1510036845,4,6
1510037734,2,0
1510038650,0,2
1510040749,4,4
1510042252,2,1
1510044164,1,5
1510045822,2,3
1510046922,2,0
1510047846,1,6
1510049445,2,5
1510050271,1,1
1510051361,3,11
1510052495,4,4
1510053273,1,2
1510054118,2,2
1510054977,1,4
1510055794,2,0
1510056656,1,22
1510057535,1,3
1510058447,3,13
1510059337,1,2
1510060265,4,18
1510061200,2,2
1510062048,2,25
1510063849,3,13
1510065043,1,15
1510066088,1,9
1510067356,3,16
1510069364,3,32
1510070808,3,9
1510071644,1,0
1510072850,4,22
1510074109,1,19
1510076564,4,16
1510078479,3,13
1510080035,2,19
1510080938,1,1
1510081846,3,11
1510082923,0,4
1510083943,0,29
1510084883,1,11
1510086644,2,19
1510087542,0,3
1510088476,0,6
1510089343,2,0
1510090245,1,10
1510090961,3,3
1510093717,19,2
1510094745,12,4
1510096190,21,5
1510098341,21,10
1510098998,1,3
1510100141,1,5
1510101042,1,6
1510101791,1,5
1510103443,2,4
1510105540,0,5
1510107043,1,8
1510109151,3,17
1510110244,1,2
1510111245,0,1
1510111719,2,0
1510112555,1,12
1510114251,1,10
1510115133,2,0
1510116164,1,24
1510117004,1,1
1510118076,0,5
1510119080,1,9
1510119761,0,4
1510121447,0,12
