DateTime,Entries,UniqueIPs
1509889554,749,749
1509891274,767,767
1509892114,787,787
1509893150,793,793
1509893793,806,806
1509894645,812,812
1509895843,820,820
1509896558,831,831
1509897694,848,848
1509898545,861,861
1509899315,873,873
1509900344,872,872
1509901401,875,875
1509902445,898,898
1509903762,904,904
1509905446,925,925
1509907542,930,930
1509911327,942,942
1509913246,961,961
1509914135,973,973
1509914561,976,976
1509915399,982,982
1509916247,985,985
1509918161,1003,1003
1509919178,1008,1008
1509920133,1016,1016
1509921054,1014,1014
1509921869,1016,1016
1509922742,1017,1017
1509923677,1021,1021
1509924500,1023,1023
1509926526,1023,1023
1509928239,1015,1015
1509928961,1016,1016
1509929987,1014,1014
1509930886,1016,1016
1509931847,1014,1014
1509932558,1010,1010
1509933394,1015,1015
1509934250,1014,1014
1509935329,1015,1015
1509936355,1002,1002
1509937300,1003,1003
1509938142,1005,1005
1509939474,1003,1003
1509940539,1002,1002
1509941443,998,998
1509941682,999,999
1509942638,1000,1000
1509943359,997,997
1509945282,1014,1014
1509946117,1019,1019
1509946968,1018,1018
1509947797,1020,1020
1509948653,1017,1017
1509949854,1021,1021
1509950570,1023,1023
1509952475,1031,1031
1509953326,1037,1037
1509954342,1035,1035
1509954999,1041,1041
1509955845,1044,1044
1509956935,1045,1045
1509957964,1037,1037
1509958601,1038,1038
1509959443,1037,1037
1509959683,1038,1038
1509960643,1036,1036
1509961373,1035,1035
1509963282,1036,1036
1509964264,1038,1038
1509965147,1043,1043
1509966354,1044,1044
1509966865,1049,1049
1509967723,1057,1057
1509968562,1055,1055
1509970243,1058,1058
1509971313,1061,1061
1509972344,1060,1060
1509972996,1064,1064
1509973844,1067,1067
1509975647,1075,1075
1509976470,1077,1077
1509977323,1078,1078
1509978190,1081,1081
1509979248,1084,1084
1509980139,1088,1088
1509981038,1091,1091
1509982112,1095,1095
1509982969,1095,1095
1509985248,1101,1101
1509986556,1100,1100
1509987683,1098,1098
1509988555,1099,1099
1509989445,1100,1100
1509990998,1098,1098
1509993042,1092,1092
1509994477,1092,1092
1509995321,1090,1090
1509995674,1093,1093
1509996642,1094,1094
1509997549,1102,1102
1509999050,1105,1105
1510000080,1108,1108
1510001145,1106,1106
1510002650,1103,1103
1510005392,1105,1105
1510006232,1104,1104
1510007436,1103,1103
1510008341,1105,1105
1510009279,1101,1101
1510010144,1104,1104
1510010923,1105,1105
1510012026,1105,1105
1510013444,1106,1106
1510015358,1102,1102
1510017042,1098,1098
1510017918,1098,1098
1510018843,1092,1092
1510019745,1092,1092
1510020698,1090,1090
1510022215,1090,1090
1510024544,1091,1091
1510025438,1085,1085
1510027660,1084,1084
1510028731,1086,1086
1510029767,1084,1084
1510031677,1077,1077
1510033173,1073,1073
1510034706,1079,1079
1510035650,1084,1084
1510036845,1082,1082
1510037734,1084,1084
1510038650,1082,1082
1510040749,1082,1082
1510042252,1083,1083
1510044164,1079,1079
1510045822,1078,1078
1510046922,1080,1080
1510047846,1075,1075
1510049445,1072,1072
1510050271,1072,1072
1510051361,1064,1064
1510052495,1064,1064
1510053273,1063,1063
1510054118,1063,1063
1510054977,1060,1060
1510055794,1062,1062
1510056656,1041,1041
1510057535,1039,1039
1510058447,1029,1029
1510059337,1028,1028
1510060265,1014,1014
1510061200,1014,1014
1510062048,991,991
1510063849,981,981
1510065043,967,967
1510066088,959,959
1510067356,946,946
1510069364,917,917
1510070808,911,911
1510071644,912,912
1510072850,894,894
1510074109,876,876
1510076564,864,864
1510078479,854,854
1510080035,837,837
1510080938,837,837
1510081846,829,829
1510082923,825,825
1510083943,796,796
1510084883,786,786
1510086644,769,769
1510087542,766,766
1510088476,760,760
1510089343,762,762
1510090245,753,753
1510090961,753,753
1510093717,770,770
1510094745,778,778
1510096190,794,794
1510098341,805,805
1510098998,803,803
1510100141,799,799
1510101042,794,794
1510101791,790,790
1510103443,788,788
1510105540,783,783
1510107043,776,776
1510109151,762,762
1510110244,761,761
1510111245,760,760
1510111719,762,762
1510112555,751,751
1510114251,742,742
1510115133,744,744
1510116164,721,721
1510117004,721,721
1510118076,716,716
1510119080,708,708
1510119761,704,704
1510121447,692,692
1510123543,673,673
1510125046,658,658
1510126116,657,657
1510127141,645,645
1510128282,644,644
1510129181,646,646
1510130558,639,639
1510132246,634,634
1510133342,636,636
1510134155,628,628
1510135008,628,628
1510136092,624,624
1510137156,614,614
1510137765,614,614
1510138593,615,615
1510139443,609,609
1510140515,607,607
1510141415,598,598
1510143274,591,591
1510144238,582,582
1510144958,590,590
1510146064,581,581
1510146949,581,581
1510147848,573,573
1510148744,568,568
1510150243,566,566
1510151316,569,569
1510152345,563,563
1510153785,551,551
1510154995,550,550
1510155821,548,548
1510156885,548,548
1510158641,545,545
1510159539,546,546
1510160459,548,548
1510161341,549,549
1510162249,549,549
1510162960,547,547
1510163833,548,548
1510164643,546,546
1510166695,531,531
1510168244,514,514
1510170345,505,505
1510171714,505,505
1510173048,506,506
1510173868,507,507
1510175452,505,505
1510177545,502,502
1510178758,501,501
1510179643,502,502
1510180708,497,497
1510182648,496,496
1510183713,497,497
1510184739,494,494
1510185699,492,492
1510186480,494,494
1510187315,495,495
1510188354,494,494
1510190084,489,489
1510190915,490,490
1510191763,489,489
1510192655,490,490
1510193450,486,486
1510195540,477,477
1510196400,474,474
1510197341,474,474
1510198544,469,469
1510200644,461,461
1510202741,454,454
1510204245,451,451
1510205314,452,452
1510206159,450,450
1510207604,450,450
1510208444,452,452
1510209583,456,456
1510211013,455,455
1510212048,454,454
1510212945,453,453
1510214117,454,454
1510215051,451,451
1510216240,450,450
1510219716,453,453
1510220571,452,452
1510221387,453,453
1510222240,452,452
1510224164,450,450
1510225845,448,448
1510227945,448,448
1510229384,443,443
1510230315,444,444
1510231190,439,439
1510232142,443,443
1510232974,439,439
1510235143,440,440
1510236866,441,441
1510237718,446,446
1510238559,443,443
1510239394,445,445
1510241323,445,445
1510242160,437,437
1510243009,440,440
1510243847,442,442
1510244736,443,443
1510245648,440,440
1510247321,437,437
1510247679,436,436
1510248655,435,435
1510249361,434,434
1510250393,434,434
1510251275,435,435
1510252206,434,434
1510253290,433,433
1510255844,433,433
1510256545,433,433
1510257400,434,434
1510258249,435,435
1510259993,432,432
1510260940,433,433
1510261846,432,432
1510263934,406,406
1510265450,390,390
1510268141,360,360
1510269049,358,358
1510270790,357,357
1510271794,361,361
1510272648,361,361
1510274771,363,363
1510275841,363,363
1510278937,366,366
1510280090,366,366
1510283213,363,363
1510284514,363,363
1510287053,361,361
1510288246,361,361
1510289559,361,361
1510291539,363,363
1510292421,362,362
1510293692,361,361
1510295320,363,363
1510296348,362,362
1510297847,365,365
1510298916,367,367
1510299763,366,366
1510300598,367,367
1510301448,366,366
1510302525,366,366
1510303356,361,361
1510304203,362,362
1510305054,361,361
1510306117,362,362
1510307154,361,361
1510307808,362,362
1510308627,355,355
1510310400,357,357
1510311417,358,358
1510312252,357,357
1510313453,353,353
1510314169,347,347
1510315253,342,342
1510316141,343,343
1510317042,344,344
1510317756,346,346
1510318563,349,349
1510319444,356,356
1510319679,358,358
1510320744,358,358
1510321355,361,361
1510322198,362,362
1510323045,361,361
1510324112,369,369
1510326873,369,369
1510328071,368,368
1510330247,368,368
1510332347,368,368
1510334087,370,370
1510335644,369,369
1510337446,369,369
1510338649,369,369
1510339360,373,373
1510341060,383,383
1510343152,400,400
1510344644,424,424
1510345723,432,432
1510346750,449,449
1510347837,455,455
1510348710,455,455
1510350830,470,470
1510352738,479,479
1510355439,485,485
1510357259,485,485
1510359052,492,492
1510360965,502,502
1510362646,508,508
1510364558,511,511
1510365678,507,507
1510367340,509,509
1510368346,515,515
1510369848,522,522
1510370739,525,525
1510371761,521,521
1510372909,523,523
1510373742,527,527
1510374631,531,531
1510375562,534,534
1510377282,532,532
1510378245,533,533
1510379146,540,540
1510379798,557,557
1510380645,573,573
1510382025,617,617
1510383047,652,652
1510384166,683,683
1510385212,699,699
1510386178,700,700
1510386994,715,715
1510387853,734,734
1510389648,780,780
1510390605,804,804
1510391457,813,813
1510392535,828,828
1510393547,847,847
1510394473,869,869
1510395360,881,881
1510396543,901,901
1510397527,912,912
1510398653,931,931
1510399544,959,959
1510400464,972,972
1510401358,986,986
1510402247,988,988
1510404152,994,994
1510405284,996,996
1510406158,1002,1002
1510407642,1013,1013
1510408594,1022,1022
1510409461,1029,1029
1510410290,1038,1038
1510411243,1042,1042
1510412194,1047,1047
1510413043,1049,1049
1510413285,1054,1054
1510414247,1071,1071
1510415142,1090,1090
1510416077,1104,1104
1510416938,1130,1130
1510417879,1155,1155
1510419175,1185,1185
1510420242,1207,1207
1510422349,1239,1239
1510423833,1225,1225
1510424923,1230,1230
1510427444,1255,1255
1510428292,1264,1264
1510430450,1282,1282
1510431333,1285,1285
1510433142,1289,1289
1510434648,1289,1289
1510435621,1295,1295
1510436646,1296,1296
1510437663,1294,1294
1510440069,1296,1296
1510441651,1293,1293
1510443342,1296,1296
1510443759,1297,1297
1510444609,1298,1298
1510445688,1300,1300
1510446639,1299,1299
1510447367,1298,1298
1510449277,1298,1298
1510450125,1302,1302
1510451145,1302,1302
1510452649,1299,1299
1510453729,1301,1301
1510455601,1308,1308
1510456540,1319,1319
1510457442,1327,1327
1510459134,1348,1348
1510460145,1364,1364
1510461047,1366,1366
1510461759,1366,1366
1510465544,1369,1369
1510467048,1380,1380
1510468107,1383,1383
1510469150,1378,1378
1510470876,1381,1381
1510471858,1379,1379
1510472743,1384,1384
1510474245,1395,1395
1510475448,1401,1401
1510477860,1422,1422
1510478749,1427,1427
1510479645,1430,1430
1510480611,1440,1440
1510481447,1447,1447
1510482358,1456,1456
1510483359,1466,1466
1510484233,1475,1475
1510485046,1482,1482
