DateTime,AddedIPs,RemovedIPs
1509903754,1,6
1509905440,4,6
1509907535,8,2
1509909041,3,3
1509911321,2,3
1509913241,2,3
1509914127,1,5
1509914555,2,0
1509915393,1,1
1509916240,1,3
1509916479,0,1
1509918154,3,12
1509919172,0,1
1509920127,2,0
1509921046,2,4
1509921859,1,4
1509922737,0,2
1509923670,1,0
1509924494,3,0
1509926518,6,16
1509927272,1,0
1509928231,2,8
1509928952,4,1
1509930880,7,9
1509931841,0,6
1509932552,6,5
1509933388,8,0
1509934243,9,7
1509935318,5,0
1509936343,3,9
1509937286,10,5
1509938136,3,0
1509939468,7,8
1509940533,3,2
1509941437,8,7
1509942631,7,8
1509943353,5,1
1509945276,12,4
1509946110,5,0
1509946962,3,11
1509948647,4,5
1509949843,7,9
1509950562,2,3
1509952469,18,5
1509953320,7,0
1509954336,3,8
1509954994,2,1
1509955839,5,5
1509956928,8,0
1509957955,9,10
1509958595,4,0
1509959437,2,6
1509959676,2,0
1509960636,10,8
1509961366,7,3
1509963275,9,4
1509964256,6,11
1509965140,5,1
1509966348,5,3
1509966858,2,0
1509967716,5,0
1509968556,1,5
1509970237,8,4
1509971307,6,0
1509972338,1,6
1509972991,2,1
1509973838,3,6
1509975640,8,4
1509976464,2,0
1509978184,14,0
1509979242,3,2
1509980133,2,1
1509981033,3,1
1509982106,2,0
1509982963,2,5
1509985242,5,3
1509986550,3,15
1509987657,1,1
1509988544,2,0
1509989439,1,5
1509990992,5,2
1509992067,4,0
1509993029,1,4
1509994471,3,1
1509995315,3,2
1509996635,5,5
1509997543,3,0
1509999044,4,3
1510000074,6,0
1510001138,2,6
1510002645,2,2
1510005386,5,3
1510006226,1,4
1510007430,2,4
1510008335,1,1
1510009272,1,2
1510010137,1,0
1510010917,1,0
1510012019,3,3
1510013438,6,8
1510014333,7,0
1510015352,3,8
1510017036,9,6
1510017912,2,1
1510018837,3,9
1510019739,3,1
1510020629,5,5
1510023445,18,8
1510024538,8,6
1510025432,5,10
1510027655,19,7
1510028713,7,0
1510029761,7,9
1510031668,9,10
1510033167,6,7
1510034700,9,5
1510035644,5,0
1510036839,7,14
1510037728,4,0
1510038643,7,1
1510039710,5,0
1510040742,5,11
1510042243,11,1
1510044155,13,8
1510045508,10,6
1510046443,4,0
1510047427,4,3
1510049439,9,3
1510050265,4,2
1510051355,6,11
1510052465,1,3
1510053267,1,0
1510054112,5,0
1510054971,4,3
1510055788,2,2
1510057529,6,4
1510058441,3,2
1510059332,2,0
1510060255,2,3
1510061194,4,0
1510062042,2,4
1510063843,3,2
1510065037,6,4
1510066081,4,3
1510067109,0,2
1510068044,2,0
1510068862,1,1
1510071638,4,2
1510072842,1,3
1510074103,4,2
1510074945,2,0
1510076558,3,10
1510078473,6,1
1510080029,2,6
1510080932,1,2
1510081840,2,4
1510082916,6,0
1510083936,5,2
1510084874,3,1
1510086638,4,1
1510087536,2,0
1510088459,1,1
1510089337,1,0
1510090240,0,4
1510090955,2,2
1510092309,2,2
1510093231,2,0
1510094738,5,5
1510096183,8,3
1510098335,4,5
1510098993,2,0
1510100135,4,4
1510101036,3,2
1510101785,1,4
1510103436,7,10
1510105533,19,10
1510107037,5,9
1510109143,12,12
1510110218,7,8
1510111239,2,0
1510111711,2,0
1510112549,5,8
1510114245,9,7
1510115127,1,0
1510116158,5,5
1510116998,2,0
1510118069,2,2
1510119061,9,7
1510119754,2,4
1510121441,15,11
1510123535,14,8
1510124187,2,0
1510125039,6,5
1510126109,2,0
1510127135,5,18
1510128252,9,6
1510129175,8,1
1510130551,1,14
1510132240,13,7
1510133332,5,0
1510135000,10,8
1510136085,2,4
1510137129,2,8
1510137759,1,1
1510138587,3,0
1510139437,4,3
1510140509,6,2
1510141409,1,10
1510143268,1,4
1510144232,3,7
1510144951,2,0
1510146044,5,8
1510146940,2,2
1510147841,2,12
1510148738,2,0
1510150237,1,5
1510151309,4,1
1510152338,3,4
1510153780,6,4
1510154941,4,0
