DateTime,Entries,UniqueIPs
1509937248,31338,31338
1509938107,31411,31411
1509939449,31198,31198
1509940506,31188,31188
1509941647,31051,31051
1509942606,30787,30787
1509943327,30720,30720
1509945247,30586,30586
1509946087,30662,30662
1509946927,30214,30214
1509947766,30267,30267
1509948607,30059,30059
1509949807,29739,29739
1509950532,29656,29656
1509952447,29546,29546
1509953287,29619,29619
1509954307,29200,29200
1509954967,29268,29268
1509956048,29072,29072
1509956887,29132,29132
1509957908,28646,28646
1509958567,28706,28706
1509959647,28506,28506
1509960607,28208,28208
1509961334,28142,28142
1509963248,28013,28013
1509964217,27569,27569
1509965107,27517,27517
1509966326,27333,27333
1509966847,27377,27377
1509967683,27453,27453
1509968526,27031,27031
1509970207,26905,26905
1509971287,27005,27005
1509972307,26794,26794
1509972967,26859,26859
1509973807,26827,26827
1509975607,26832,26832
1509976432,26919,26919
1509977296,26947,26947
1509978162,27040,27040
1509979213,27003,27003
1509980107,27082,27082
1509981002,8244,8244
1509982087,27110,27110
1509982927,26942,26942
1509985206,27059,27059
1509985686,27096,27096
1509986527,26959,26959
1509987593,27040,27040
1509988507,27141,27141
1509989410,27126,27126
1509990966,27244,27244
1509992046,27272,27272
1509992986,27243,27243
1509994438,27333,27333
1509995647,27367,27367
1509996606,27354,27354
1509997506,27438,27438
1509999008,27496,27496
1510000068,8244,8244
1510001107,27547,27547
1510002607,27560,27560
1510005366,27662,27662
1510006446,27636,27636
1510007407,27616,27616
1510008307,27653,27653
1510009247,27657,27657
1510010107,27761,27761
1510010886,27818,27818
1510011935,27789,27789
1510013406,27823,27823
1510014307,27919,27919
1510015326,27864,27864
1510017006,27948,27948
1510017903,8244,8244
1510018806,27964,27964
1510019707,28077,28077
1510020575,28083,28083
1510022190,28164,28164
1510024507,28234,28234
1510025407,28200,28200
1510027478,28311,28311
1510028407,28415,28415
1510029307,28404,28404
1510029731,28393,28393
1510031646,28513,28513
1510033139,28532,28532
1510034679,28393,28393
1510035606,28496,28496
1510036807,28507,28507
1510037707,28608,28608
1510038607,28619,28619
1510039687,28699,28699
1510040708,28662,28662
1510042207,28707,28707
1510043409,28666,28666
1510044127,28694,28694
1510045487,28747,28747
1510046406,28933,28933
1510047415,29019,29019
1510049407,29434,29434
1510050233,29715,29715
1510051327,29866,29866
1510052393,30053,30053
1510053247,30258,30258
1510054091,30485,30485
1510054950,30592,30592
1510055767,30825,30825
1510056607,30841,30841
1510057507,31077,31077
1510058406,31127,31127
1510059306,31356,31356
1510060206,31399,31399
1510061160,31635,31635
1510062007,31646,31646
1510064046,31974,31974
