DateTime,AddedIPs,RemovedIPs
1509915392,12,6
1509916239,20,26
1509916478,4,1
1509918153,34,45
1509919170,24,20
1509920126,34,6
1509921044,18,26
1509921851,9,23
1509922734,11,13
1509923669,17,11
1509924493,15,1
1509926517,35,76
1509927271,29,2
1509928230,20,37
1509928951,17,13
1509929941,33,22
1509930879,13,4
1509931836,13,33
1509932551,23,18
1509933387,18,6
1509934241,21,26
1509935316,17,3
1509936339,14,34
1509937281,14,31
1509938135,12,1
1509939468,26,20
1509940532,35,19
1509941436,20,26
1509941673,6,1
1509942631,13,39
1509943352,20,18
1509945274,29,28
1509946109,7,2
1509946961,7,35
1509948645,25,17
1509949841,16,27
1509950561,12,15
1509952468,35,16
1509953319,19,1
1509954335,21,23
1509954993,21,2
1509955838,20,19
1509956924,20,2
1509957954,29,36
1509958594,21,5
1509959436,12,29
1509959675,4,1
1509960635,20,30
1509961365,13,14
1509963274,39,28
1509964255,14,39
1509965139,30,21
1509966347,28,33
1509967715,23,7
1509968555,14,52
1509970236,27,39
1509971306,22,6
1509972337,15,36
1509972990,15,1
1509973837,17,26
1509975639,43,51
1509976460,12,2
1509978183,41,18
1509979242,14,19
1509980133,15,7
1509981032,10,44
1509982106,24,8
1509982962,17,35
1509985241,52,39
1509985705,10,1
1509986546,23,57
1509987653,18,24
1509988543,21,2
1509989438,15,26
1509990991,35,26
1509992066,22,22
1509993024,25,27
1509994469,22,10
1509995314,15,17
1509995667,5,2
1509996634,23,23
1509997542,20,4
1509999043,45,29
1510000073,27,6
1510001137,21,40
1510002644,22,25
1510005385,46,42
1510006225,20,23
1510006474,5,1
1510007429,24,23
1510008334,13,17
1510009271,21,11
1510010136,17,7
1510010917,17,5
1510012018,16,23
1510013437,34,29
1510014332,22,5
1510015351,20,29
1510017035,36,13
1510017911,27,2
1510018836,22,25
1510019738,17,3
1510020626,22,20
1510023442,57,34
1510024537,21,30
1510025431,26,22
1510027651,42,29
1510028708,15,11
1510029760,16,31
1510031667,33,23
1510033166,33,22
1510034699,24,20
1510035643,9,3
1510036838,23,23
1510037727,22,6
1510038642,16,19
1510039709,19,7
1510040741,19,18
1510042242,25,21
1510044154,29,37
1510045508,20,30
1510046442,12,0
1510049438,37,47
1510050263,9,1
1510051354,18,34
1510052461,23,19
1510053267,16,6
1510054111,17,6
1510054970,17,29
1510055787,17,3
1510057528,32,50
1510058440,16,36
1510059331,23,5
1510060253,18,26
1510061193,25,6
1510062042,17,28
1510063842,28,27
1510065036,17,27
1510066079,21,14
1510068043,37,30
1510068861,13,53
1510069357,11,14
1510071637,48,24
1510072841,22,27
1510074098,24,20
1510074944,22,8
1510076557,32,45
1510078472,37,21
1510080025,43,71
1510080931,15,0
