DateTime,AddedIPs,RemovedIPs
1509931826,28,209
1509932546,29,73
1509933383,29,2
1509934236,30,167
1509935310,23,0
1509936334,24,286
1509937265,28,177
1509938128,18,1
1509939463,39,259
1509940527,55,89
1509941431,30,180
1509941668,7,1
1509942624,30,262
1509943343,33,111
1509945269,55,238
1509946104,21,1
1509946952,23,412
1509947787,22,2
1509948637,18,221
1509949832,29,319
1509950557,13,112
1509952463,57,220
1509953310,30,0
1509954328,33,382
1509954988,37,1
1509955833,28,235
1509956918,29,0
1509957935,39,462
1509958589,28,1
1509959431,22,231
1509959670,9,0
1509960631,34,299
1509961360,18,100
1509963268,74,236
1509964247,35,306
1509965132,34,99
1509966342,42,228
1509966857,0,6179
1509967707,6209,0
1509968550,27,379
1509970231,54,211
1509971302,49,0
1509972328,44,218
1509972985,23,0
1509973833,39,45
1509975629,91,60
1509976448,29,0
1509977312,0,5652
1509978179,5719,0
1509979237,27,44
1509980128,32,1
1509981027,26,71
1509982101,41,1
1509982957,29,60
1509985233,97,38
1509985701,18,0
1509986537,0,5774
1509987609,5818,0
1509988538,70,3
1509989432,66,38
1509990987,89,32
1509992061,53,35
1509993009,47,43
1509994453,60,12
1509995310,36,30
1509995662,13,0
1509996629,48,32
1509997534,42,1
1509999038,93,33
1510000068,0,6176
1510001131,6211,0
1510002635,61,35
1510005381,125,57
1510006218,0,6305
1510006469,6307,0
1510007424,41,50
1510008327,33,17
1510009264,46,27
1510010129,47,0
1510010911,32,0
1510011985,45,39
1510013432,63,47
1510014328,40,0
1510015342,46,50
1510017031,95,27
1510017903,0,6538
1510018827,6599,0
1510019730,76,0
1510020608,45,22
1510022206,97,36
1510024530,125,74
1510025424,59,50
1510027507,124,47
1510028434,50,0
1510029328,61,57
1510029755,30,18
1510031662,116,29
1510033161,90,47
1510034694,101,36
1510035634,56,0
1510036829,78,51
1510037722,38,1
1510038637,32,26
1510039703,36,0
1510040733,48,37
1510042237,61,31
1510044144,61,69
1510045503,198,53
1510046437,149,1
1510047424,0,7645
1510049434,8162,0
1510050250,224,0
1510051343,272,59
1510052451,257,40
1510053262,154,0
1510054106,179,1
1510054965,178,39
1510055782,183,1
1510056643,169,82
1510057523,199,0
1510058432,150,60
1510059326,190,2
1510060244,141,45
1510061182,178,0
1510062033,149,58
1510063838,301,39
1510065029,201,47
1510066069,144,22
1510067105,0,10936
1510068035,11162,0
1510068856,161,78
1510069353,84,20
1510070795,0,11309
1510071633,11684,0
1510072833,223,58
1510074085,216,36
1510074937,179,0
1510076549,263,61
1510078468,328,25
1510080020,0,12713
1510080927,13030,0
1510081835,137,43
1510082911,169,1
1510083931,175,79
1510084861,110,28
1510086632,239,42
1510087527,96,14
1510088453,111,52
1510089329,116,0
1510090233,106,63
1510090950,95,18
1510092299,142,31
1510093226,92,3
1510093706,70,3
1510094732,129,74
1510096177,147,35
1510098327,234,83
1510098987,63,0
1510100128,137,62
1510101030,82,51
1510101779,84,17
1510103431,243,49
1510105527,322,61
1510107030,267,37
1510108215,32,22135
1510109133,22388,1
1510110202,197,44
1510111234,161,0
1510111706,86,0
1510112543,186,86
1510114239,311,44
1510115122,210,0
1510116149,209,59
1510116989,195,0
1510118063,183,32
1510119042,273,39
1510119744,162,11
1510121435,400,27
1510123529,375,87
1510124182,109,0
1510125032,142,54
1510126103,197,1
1510127129,178,77
1510128238,183,45
1510129162,174,0
1510129713,100,0
1510130545,148,66
1510132234,314,62
1510133308,208,2
1510134141,0,19799
1510134993,20045,0
1510136069,198,54
1510137116,214,48
1510137753,111,22
1510138582,165,2
1510139431,127,41
1510140504,196,1
1510141404,187,72
1510143263,417,62
1510144225,215,88
1510144942,109,3
1510145993,175,100
1510146926,188,0
1510147832,160,66
1510148730,163,26
1510150232,238,37
1510151304,185,1
1510152332,192,52
1510153774,296,71
1510154935,173,1
1510155809,57,90
1510156864,57,115
1510157730,50,2
1510158628,52,124
1510159524,75,0
1510160404,97,93
1510161328,114,0
1510162232,147,83
1510162948,127,23
1510163800,127,1
1510164631,127,50
1510166684,301,75
1510168233,272,89
1510170330,289,103
1510171695,224,48
1510173016,222,74
1510173853,140,0
1510175437,211,80
1510177529,281,86
1510178701,162,50
1510179632,95,0
1510180685,124,75
1510182636,247,85
1510183702,98,0
1510184728,118,106
1510185665,97,68
1510186468,72,0
1510187303,72,1
1510188338,139,100
1510190072,177,116
1510190903,132,0
1510191752,131,125
1510192628,115,1
1510193437,150,52
1510195525,288,141
1510196388,121,73
1510197328,152,6
1510198528,175,97
1510200632,344,121
1510202727,346,126
1510203388,125,0
1510204233,117,86
1510205302,131,1
1510206147,180,126
1510207576,164,48
1510208432,104,1
1510209556,163,85
1510209748,31,0
1510210978,198,54
1510212034,188,1
1510212933,177,63
1510214093,0,27966
1510215036,28200,0
1510215262,48,0
1510216228,193,249
1510219705,731,360
1510220556,136,502
1510221372,192,1
1510222229,161,260
1510223129,174,1
1510224148,202,407
1510224987,145,0
1510225834,129,225
1510227009,0,28306
1510227929,28359,0
1510229361,236,295
1510230303,167,1
1510231179,143,373
1510232118,182,0
1510232947,149,190
1510235129,340,253
1510236849,0,28464
1510237707,28639,0
1510238542,135,342
1510239383,132,1
1510240235,141,174
1510241310,176,0
1510242148,106,368
1510242999,0,28444
1510243836,28533,0
1510244722,134,0
1510245628,137,387
1510247667,353,184
1510248638,142,283
1510249350,113,78
1510250380,0,28480
1510251263,28463,0
1510252136,103,1
1510253271,106,329
1510254636,144,145
1510255830,128,210
1510256530,0,28259
1510257388,28388,0
1510258237,91,145
1510259981,233,253
1510260929,93,2
1510261835,111,126
1510262907,139,1
1510263910,0,28528
1510265435,28465,0
1510266326,104,1
1510268129,189,227
1510269037,142,117
1510270764,146,216
1510271782,127,0
1510272635,82,169
1510274742,194,325
1510275809,151,202
1510276825,107,0
1510277740,130,272
1510278926,151,90
1510280077,187,200
1510280912,92,0
1510283177,368,604
1510284503,176,1
1510287038,370,726
1510288232,189,340
1510289541,195,136
1510291524,222,271
1510292385,153,410
1510293220,103,0
1510293675,63,191
1510294537,100,2
1510295305,77,2
1510296331,104,399
1510297835,200,204
1510298904,168,2
1510299751,149,390
1510300587,156,0
1510301426,0,27563
1510302512,27680,0
1510303344,145,436
1510304182,136,1
1510305041,174,231
1510306104,204,2
1510307137,151,411
1510307790,121,0
1510308589,138,210
1510309526,171,0
1510310389,125,414
1510311406,169,1
1510312239,97,274
1510312465,27,0
1510313439,137,371
1510314156,106,87
1510315130,140,187
1510316128,123,30
1510317029,119,295
1510317743,97,1
1510318552,107,0
1510319431,122,328
1510319668,27,0
1510320730,133,264
1510321342,78,1
1510322187,91,0
1510323034,115,336
1510324101,110,2
1510326862,356,365
1510328042,145,92
1510330236,259,170
1510332329,233,330
1510334075,196,179
1510335632,177,255
1510336530,127,0
1510337435,104,288
1510338632,165,236
1510339348,76,91
1510341044,224,187
1510343130,245,272
1510344631,203,241
1510345707,0,26765
1510346736,26746,0
1510347798,79,172
1510348680,94,0
1510350818,239,187
1510351841,109,224
1510352716,113,0
1510355428,245,332
1510356338,110,1
1510357243,66,237
1510359036,147,127
1510360951,186,232
1510362634,141,263
1510364542,179,325
1510365664,113,175
1510366530,108,1
1510367324,92,0
1510368330,95,254
1510369836,189,309
1510370726,93,0
1510371748,124,381
1510372867,129,210
1510373730,106,1
1510374613,0,26072
1510375538,26048,0
1510377270,181,224
1510378223,55,230
1510379131,214,88
1510379787,101,2
1510380633,122,203
1510381993,0,25974
1510383033,26009,0
1510384132,167,373
1510386163,191,508
1510386983,21,1
1510387823,21,272
1510389632,46,342
1510390594,33,1
1510391439,22,378
1510392516,21,0
1510393528,20,450
1510394393,17,226
1510395341,25,2
1510396525,38,295
1510397515,27,137
1510398637,31,207
1510399531,32,2
1510400444,0,23527
1510401341,23280,0
1510402235,28,334
1510404134,0,22974
1510405213,22505,0
1510406139,17,2
1510407627,41,300
1510408582,21,0
1510409438,27,299
1510410260,14,1
1510411232,29,392
1510412182,13,2
1510413031,17,207
1510413273,3,0
1510414232,12,268
1510415128,17,86
1510416063,17,210
1510416925,19,1
1510417850,19,303
1510419163,24,89
1510420230,14,132
1510422331,32,241
1510423814,0,20308
1510424908,20231,0
1510427432,31,449
1510428281,8,0
1510431224,55,414
1510433128,33,230
1510434635,26,221
1510435610,14,1
1510436634,18,283
1510437546,17,139
1510438534,25,26
1510440058,38,188
1510441624,30,210
1510443742,37,220
1510444594,32,1
1510445671,27,182
1510446622,5,221
1510447351,10,101
1510449263,44,149
1510450114,20,0
1510451130,20,351
1510451782,21,0
1510452636,15,241
1510453710,28,0
1510455589,44,546
1510456528,14,24
1510457428,18,283
1510459078,35,93
1510460131,22,176
1510461033,16,238
1510461743,15,67
1510462582,14,0
1510463431,26,175
1510465530,54,252
1510467034,27,173
1510468096,0,15416
1510469136,15039,0
1510470864,24,247
1510471836,17,346
1510472729,17,0
1510474232,40,387
1510475434,35,379
1510477843,59,330
1510478736,28,0
1510479629,24,338
1510480590,13,0
1510481434,12,301
1510482335,15,2
1510483342,21,333
1510484211,21,0
1510485034,22,207
