DateTime,AddedIPs,RemovedIPs
1509893777,35,0
1509894626,34,94
1509895822,33,124
1509896536,26,36
1509897659,37,75
1509898521,28,1
1509899297,27,3
1509900322,31,97
1509901367,49,63
1509902423,47,1
1509903739,57,90
1509905425,59,57
1509907519,69,112
1509909023,57,58
1509911307,70,106
1509913223,56,49
1509914537,47,83
1509915379,25,0
1509916464,35,41
1509918139,58,69
1509919160,25,44
1509921024,66,59
1509921833,26,54
1509922683,19,0
1509923658,36,63
1509924483,30,1
1509926507,64,123
1509927258,30,1
1509928218,42,58
1509928937,16,22
1509929887,46,0
1509930863,90,50
1509931821,78,71
1509932537,47,17
1509933378,83,0
1509934227,80,45
1509935301,101,1
1509936321,78,78
1509937260,55,42
1509938119,48,0
1509939458,81,71
1509940519,51,27
1509941659,42,36
1509942617,39,71
1509943337,25,16
1509945260,73,52
1509946099,41,1
1509946939,39,92
1509947778,32,1
1509948623,33,38
1509949820,48,78
1509950544,38,22
1509952458,89,52
1509953297,32,1
1509954319,45,102
1509954979,23,0
1509956063,50,53
1509956903,35,3
1509957920,47,96
1509958580,26,2
1509959660,48,46
1509960623,50,76
1509961349,38,30
1509963262,70,50
1509964235,35,203
1509965123,37,38
1509966337,57,61
1509967694,67,0
1509968539,32,96
1509970223,77,56
1509971297,43,1
1509972317,44,67
1509972977,36,0
1509973824,45,67
1509975618,78,110
1509976443,48,1
1509977311,44,48
1509978174,40,0
1509979229,47,60
1509980119,41,0
1509981022,45,78
1509982096,56,1
1509982947,42,173
1509985222,100,51
1509985696,18,0
1509988524,125,174
1509989427,34,69
1509990978,69,13
1509992057,50,41
1509992997,30,52
1509994449,56,20
1509995657,51,37
1509996623,41,69
1509997522,32,2
1509999026,69,73
1510001119,81,74
1510002624,67,76
1510005376,93,66
1510006461,31,53
1510007417,42,54
1510008319,38,20
1510009257,29,37
1510010120,48,0
1510010903,23,1
1510011978,36,62
1510013423,81,62
1510014319,46,0
1510015337,50,87
1510017026,74,49
1510018816,60,90
1510019718,34,2
1510020597,31,45
1510022200,68,52
1510024522,83,70
1510025417,34,64
1510027498,87,65
1510028423,42,2
1510029319,41,53
1510029743,12,37
1510031657,83,46
1510033156,62,77
1510034689,54,272
1510035622,37,0
1510036817,67,76
1510037717,57,1
1510038626,51,49
1510039698,36,0
1510040723,54,96
1510042227,60,61
1510044138,91,101
1510045498,65,163
1510046426,27,3
1510049425,130,159
1510050244,47,1
1510051337,59,108
1510052404,39,61
1510053257,44,0
1510054102,43,2
1510054960,41,66
1510055778,46,1
1510056634,49,90
1510057517,33,0
1510058421,44,72
1510059318,43,1
1510060235,41,98
1510061171,56,0
1510062023,41,94
1510064059,97,63
1510065017,35,62
1510066059,65,28
1510068022,96,60
1510068850,38,82
1510069348,21,25
1510070788,78,51
1510071624,26,3
1510072822,49,106
1510074074,69,52
1510074927,43,1
1510076537,73,97
1510078459,90,63
1510080918,120,104
1510081823,33,65
1510082902,56,1
1510083922,56,120
1510084856,43,56
1510086624,70,95
1510087518,44,20
1510088411,42,44
1510089317,51,0
1510090226,40,71
1510090941,34,38
1510092289,58,52
1510093217,44,0
1510093696,28,0
1510094724,52,141
1510096171,53,73
1510098318,75,146
1510098979,28,0
1510100119,35,46
1510101019,34,69
1510101774,20,32
1510103426,63,53
1510105518,90,96
1510107025,59,55
1510108210,52,91
1510109120,33,22
1510110196,40,50
1510111223,29,0
1510111697,17,1
1510112537,41,92
1510114226,73,45
1510115117,41,0
1510116137,37,99
1510116978,29,0
1510118058,32,41
1510119048,39,62
1510119738,38,26
1510121426,59,53
1510123524,91,90
1510124177,25,0
1510125027,28,46
1510126098,40,0
1510127120,31,116
1510128232,44,55
1510129157,29,1
1510130538,58,127
1510132225,67,58
1510133300,42,0
1510134139,33,83
1510134982,28,1
1510136058,52,66
1510137106,51,90
1510137743,24,27
1510138577,41,0
1510139426,27,68
1510140498,43,1
1510141399,35,85
1510143257,99,76
1510144217,41,86
1510144936,37,0
1510145947,37,96
1510146920,41,8
1510147822,40,88
1510148719,42,26
1510150223,59,62
1510151298,47,2
1510152323,46,85
1510153769,55,92
1510154930,45,0
1510155798,54,101
1510156857,50,59
1510157719,29,0
1510158619,44,69
1510159519,31,0
1510160398,28,82
1510161319,28,0
1510162220,31,67
1510162943,33,26
1510163793,30,0
1510164626,51,49
1510166679,83,74
1510168227,72,75
1510170319,72,99
1510171690,49,60
1510173004,63,67
1510173805,31,2
1510175425,80,70
1510177517,75,98
1510178696,46,49
1510179623,35,2
1510180680,43,63
1510182857,72,93
1510183696,37,1
1510184719,51,111
1510185658,36,50
1510186463,31,0
1510187298,32,0
1510188326,42,67
1510190063,76,82
1510190897,35,0
1510191743,34,165
1510192622,48,1
1510193428,44,56
1510195517,106,88
1510196384,40,39
1510197319,42,8
1510198517,43,65
1510200627,77,73
1510202718,67,95
1510203380,15,3
1510205297,88,40
1510206138,34,79
1510207563,67,71
1510208423,31,1
1510209739,67,109
1510210968,59,40
1510212023,45,1
1510212929,44,85
1510215257,122,88
1510216219,41,75
1510220546,193,194
1510221362,37,5
1510222224,39,64
1510223118,42,0
1510224138,45,117
1510224979,50,0
1510225825,36,65
1510227918,88,86
1510229356,64,87
1510230298,46,0
1510231174,55,129
1510232108,55,0
1510232942,38,59
1510235120,106,82
1510237698,128,97
1510238537,36,121
1510239378,44,0
1510240457,50,56
1510241301,32,0
1510242138,44,104
1510242999,33,1
1510243827,35,71
1510244717,39,0
1510245617,38,121
1510247658,90,56
1510248625,40,89
1510249340,30,29
1510251258,62,60
1510252131,36,1
1510253265,64,123
1510254626,61,62
1510255822,52,78
1510257379,45,36
1510258228,40,68
1510259976,80,113
