DateTime,AddedIPs,RemovedIPs
1509368183,8,5
1509370104,15,0
1509373946,26,38
1509375860,7,25
1509377770,17,25
1509379690,10,21
1509381620,22,36
1509383549,22,25
1509385460,23,23
1509387384,29,0
1509389302,28,9
1509393131,23,23
1509395079,20,11
1509398463,23,39
1509400336,14,0
1509402265,23,40
1509404186,9,15
1509406536,19,21
1509408712,14,18
1509410656,24,17
1509412575,23,18
1509414492,20,16
1509416420,15,26
1509418341,20,14
1509420251,23,31
1509422169,14,0
1509424090,16,13
1509426029,12,18
1509427932,18,25
1509429862,14,24
1509433700,22,54
1509435608,19,21
1509437530,24,17
1509439455,24,17
1509441402,13,7
1509445222,11,17
1509447141,9,15
1509449053,19,6
1509450980,10,12
1509452902,15,11
1509454824,9,11
1509456738,6,14
1509458670,8,0
1509460577,11,23
1509462498,16,6
1509464412,15,13
1509468255,19,28
1509470188,15,20
1509472106,22,26
1509474028,18,26
1509475943,6,26
1509477859,15,0
1509479770,12,24
1509482924,23,23
1509484825,16,0
1509486740,11,38
1509488656,21,0
1509490855,14,31
1509492976,10,23
1509494907,24,0
1509496810,17,8
1509498995,17,43
1509500893,14,24
1509502826,23,14
1509506669,23,37
1509508574,17,13
1509510491,19,24
1509512427,16,0
1509514350,14,33
1509516264,15,16
1509518182,26,0
1509520101,14,0
1509522009,25,48
1509523934,17,24
1509525852,24,0
1509527779,9,24
1509529693,8,13
1509531623,6,0
1509533548,9,20
1509535468,12,16
1509539291,12,7
1509541477,8,22
1509543378,22,8
1509545295,12,11
1509549152,24,23
1509551071,22,13
1509554213,12,0
1509556359,16,19
1509558264,20,15
1509560439,14,38
1509564266,28,23
1509566205,15,14
1509568138,25,0
1509570094,15,22
1509571953,15,16
1509573875,14,8
1509575809,6,21
1509577725,9,13
1509579848,13,6
1509583949,9,43
1509585870,26,15
1509587784,21,13
1509589704,18,21
1509591636,23,0
1509593533,22,20
1509595458,15,14
1509597633,5,21
1509599547,24,19
1509601461,20,15
1509603393,14,17
1509605550,14,24
1509607461,27,15
1509609389,14,24
1509611313,28,19
1509613246,14,21
1509615150,16,12
1509617078,21,12
1509618973,5,6
1509620892,8,9
1509623567,12,9
1509625481,4,0
1509627397,7,13
1509629298,15,6
1509633149,6,35
1509635075,14,0
1509636976,9,21
1509638894,12,22
1509640829,7,11
1509642749,18,0
1509644657,24,18
1509646584,11,25
1509650440,18,20
1509652347,11,25
1509654339,27,15
1509656171,13,21
1509658221,28,15
1509660043,9,14
1509662202,20,12
1509664118,14,10
1509666014,15,12
1509668159,22,15
1509670355,2,7
1509672270,16,0
1509674203,12,46
1509676096,17,0
1509678049,2,42
1509679951,7,17
1509683777,28,14
1509685716,27,3
1509689555,18,43
1509691453,18,14
1509693401,5,15
1509695313,14,27
1509697242,25,19
1509701064,13,45
1509702990,22,20
1509704920,18,20
1509706819,10,5
1509708764,14,9
1509710676,14,9
1509712596,9,2
1509714511,27,12
1509716436,13,17
1509718346,28,0
1509720269,22,8
1509722194,18,14
1509724391,18,8
1509726514,21,11
1509728415,21,6
1509730353,21,19
1509734183,16,33
1509739957,19,29
1509743784,23,42
1509745690,22,22
1509747643,21,7
1509749554,23,19
1509751732,21,15
1509753879,21,21
1509755782,26,20
1509759611,25,15
1509761539,30,14
1509763452,19,25
1509765375,20,1
1509767292,16,7
1509773048,23,55
1509774972,15,0
1509776890,25,18
1509778828,24,16
1509780746,19,6
1509782659,14,13
1509784573,15,21
1509786503,21,0
1509788420,13,11
1509790343,9,24
1509792247,6,18
1509796099,10,19
1509798023,6,10
1509801850,21,29
1509809771,14,79
1509811698,15,17
1509813631,36,24
1509815545,14,18
1509817472,17,23
1509819404,14,0
1509821307,22,13
1509823216,24,0
1509827055,29,17
1509828986,10,0
1509830902,16,26
1509832837,25,25
1509834736,15,21
1509836664,22,25
1509838714,10,24
1509840944,9,19
1509842906,30,25
1509844806,17,0
1509846736,6,22
1509848645,27,33
1509850566,18,15
1509852498,25,25
1509856334,15,18
1509860185,19,24
1509862098,19,18
1509864020,17,24
1509865947,24,21
1509867847,7,25
1509871695,27,32
1509873606,8,24
1509875537,9,15
1509877450,8,15
1509879377,10,7
1509881302,9,0
1509883208,15,11
1509885129,13,8
1509887050,22,0
1509888980,25,20
1509890888,22,0
1509892805,14,0
1509894732,19,0
1509896652,19,14
1509898597,16,19
1509900520,23,30
1509902423,30,15
1509904334,17,18
1509906267,24,11
1509908182,29,24
1509911324,22,23
1509915152,8,24
1509917072,21,11
1509918975,12,12
1509920899,26,17
1509922848,9,13
1509924993,24,21
1509926887,10,9
1509928826,7,7
1509930745,10,31
1509932670,19,14
1509934604,7,4
1509936503,13,22
1509938427,14,16
1509940355,15,25
1509942272,27,0
1509944186,17,22
1509948048,27,22
1509951866,20,42
1509953795,22,9
1509955712,19,23
1509957630,30,0
1509961455,19,36
1509963401,15,8
1509965304,7,8
1509967236,8,11
1509969152,11,8
1509971060,15,13
1509975158,18,35
1509977077,18,19
1509978979,6,17
1509980904,15,15
1509982837,15,20
1509988577,15,61
1509991556,12,51
1509993386,7,23
1509995301,8,27
1509997222,15,0
1510001055,21,26
1510002982,3,8
1510007301,17,60
1510011152,1,9
1510014973,9,41
1510016906,6,9
1510018818,22,11
1510022669,16,25
1510024598,16,19
1510026496,10,8
1510028429,17,16
1510030347,6,22
1510032260,16,24
1510034214,13,0
1510036109,26,29
1510038022,16,0
1510039960,26,25
1510041875,21,30
1510043779,13,16
1510045708,6,35
1510047715,23,0
1510049559,14,25
1510051475,15,16
1510053401,10,6
1510055315,16,11
1510062987,13,44
1510067080,8,36
1510068977,11,13
1510070897,12,20
1510072835,10,0
1510074755,8,0
1510076654,20,17
1510078600,11,12
1510080497,25,4
1510082433,9,9
1510084351,5,19
1510087247,7,0
1510089148,12,17
1510091060,30,5
1510092993,15,0
1510094905,17,14
1510098731,21,0
1510100648,28,0
1510102848,16,8
1510104736,17,9
1510108574,17,17
1510110509,14,16
1510112423,15,18
1510114352,13,15
1510116256,13,16
1510118194,21,4
1510120101,17,20
1510122017,22,9
1510123934,20,27
1510125856,18,16
1510127781,14,26
1510131878,21,26
1510133790,12,6
1510135695,14,23
1510137644,6,10
1510141458,16,24
1510143398,6,11
1510145321,8,0
1510147226,4,0
1510152984,6,16
1510154910,18,9
1510156830,8,9
1510158750,7,13
1510162574,14,11
1510164508,5,20
1510166925,18,34
1510168839,6,5
1510170748,4,0
1510176499,24,28
1510178435,9,29
1510180354,15,17
1510182262,14,15
1510184345,14,0
1510186316,29,26
1510188269,24,27
1510190191,27,13
1510192112,36,15
1510194038,39,0
1510195951,16,16
1510197867,39,17
1510199940,34,15
1510202219,29,16
1510204463,30,14
1510206370,33,23
1510208309,19,22
1510210460,24,38
1510212270,23,22
1510214306,30,14
1510216110,23,0
1510220455,7,34
1510222600,12,18
1510224521,14,8
1510226431,6,0
1510228339,17,14
1510230269,14,6
1510234097,21,17
1510236044,16,0
1510239874,16,8
1510241795,12,19
1510245623,11,22
1510247560,15,0
1510249713,31,12
1510253549,13,31
1510255467,26,11
1510257373,5,5
1510259298,19,0
1510261281,16,0
