DateTime,AddedIPs,RemovedIPs
1509991582,168,89
1509992657,87,107
1509993613,91,121
1509994584,89,77
1509995552,82,65
1509996495,82,76
1509997451,69,51
1509998438,62,55
1509999375,73,66
1510000350,118,56
1510001293,113,133
1510002278,87,18
1510003228,46,14
1510005421,199,164
1510006351,74,57
1510007308,61,70
1510008252,73,68
1510009254,78,59
1510010174,68,90
1510011158,55,3
1510012095,80,72
1510013093,91,86
1510014043,59,91
1510014978,83,78
1510015947,87,91
1510016911,69,90
1510017853,54,84
1510018835,79,62
1510019788,75,54
1510020759,83,78
1510021693,68,62
1510022688,98,71
1510023633,86,67
1510024607,62,70
1510025553,54,65
1510026502,61,77
1510027462,64,64
1510028447,50,70
1510029376,83,84
1510030353,58,60
1510031294,70,71
1510032278,60,69
1510033212,63,55
1510034220,70,55
1510035140,53,66
1510036117,62,55
1510037051,57,47
1510038040,65,61
1510039334,88,67
1510040428,67,102
1510041390,68,53
1510042362,51,81
1510043298,55,4
1510044257,64,49
1510045252,51,54
1510046180,56,68
1510047151,84,100
1510048099,29,8
1510049083,80,80
1510050031,74,58
1510050986,48,55
1510051948,41,12
1510052899,35,51
1510053854,55,59
1510054830,67,92
1510055810,50,54
1510056760,66,69
1510057713,41,68
1510058656,47,10
1510059644,66,132
1510060592,58,9
1510061552,74,109
1510062506,45,4
1510063474,65,52
1510064689,91,99
1510065624,40,44
1510066572,52,34
1510067559,68,72
1510068498,63,68
1510069455,54,62
1510070445,52,61
1510071395,53,64
1510072357,73,60
1510073294,44,48
1510074283,87,60
1510075227,55,37
1510076184,100,65
1510077162,78,46
1510078121,72,50
1510079054,62,53
1510080035,86,68
1510080988,60,60
1510081953,57,80
1510082896,74,74
1510083875,46,89
1510084827,53,90
1510087264,169,158
1510088200,75,83
1510089153,75,48
1510090104,45,59
1510091078,59,63
1510092015,61,54
1510092999,72,63
1510093938,62,67
1510094923,76,64
1510095861,71,36
1510096824,46,68
1510097785,64,12
1510098749,65,102
1510099904,64,83
1510100904,54,10
1510101870,58,149
1510102866,63,62
1510103789,40,6
1510104742,78,84
1510105708,80,128
1510106681,64,52
1510107630,62,10
1510108579,74,125
1510109547,67,74
1510110516,116,68
1510111456,60,5
1510112429,74,99
1510113372,65,5
1510114358,75,72
1510115298,84,103
1510116262,57,79
1510117238,74,65
1510118199,64,71
1510119152,63,5
1510120119,98,118
1510121061,61,13
1510122023,84,112
1510122988,62,6
1510123955,62,112
1510124905,41,9
1510125863,60,57
1510127091,97,133
1510128020,65,64
1510128995,58,53
1510129970,59,61
1510130904,77,90
1510131883,70,47
1510132815,57,57
1510133796,51,50
1510134751,70,89
1510135701,64,72
1510136664,62,61
1510137662,56,66
1510138586,54,64
1510139586,72,67
1510140507,56,50
1510141464,71,60
1510142456,59,51
1510143403,59,65
1510144345,61,52
1510145327,61,60
1510146265,50,8
1510147231,65,95
1510148180,44,8
1510149159,71,97
1510150093,47,14
1510151074,84,116
1510152023,45,16
1510152990,76,114
1510153938,43,5
1510154916,77,105
1510155860,43,9
1510156836,69,63
1510157789,75,104
1510158767,66,5
1510159696,73,58
1510160672,61,70
1510161626,66,51
1510162592,87,69
1510163548,91,79
1510164514,69,88
1510166951,165,167
1510167863,73,81
1510168844,68,68
1510169775,106,64
1510170765,85,58
1510171694,83,86
1510172672,46,72
1510173617,78,68
1510174601,60,75
1510175534,71,65
1510176505,57,68
1510177469,57,98
1510178441,58,108
1510179399,60,93
1510180359,71,117
1510181318,88,67
1510182279,79,60
1510183472,72,82
1510184686,53,83
1510185632,75,105
1510186837,78,86
1510187793,68,70
1510188733,55,87
1510189709,66,72
1510190655,69,88
1510191612,59,61
1510192595,78,61
1510193536,88,61
1510194508,56,74
1510195457,68,71
1510196476,73,83
1510197381,65,49
1510198350,59,63
1510199302,74,69
1510200481,92,65
1510201466,82,72
1510202791,99,86
1510203871,105,144
1510204952,82,72
1510205906,85,63
1510206862,99,96
1510207834,100,85
1510208788,43,3
1510209948,106,125
1510210968,80,64
1510211944,78,63
1510212988,81,45
1510214323,90,79
1510215387,86,69
1510216342,61,64
1510217318,61,81
1510218262,75,52
1510221144,171,173
1510222105,91,62
1510223054,80,87
1510224026,69,62
1510225009,55,65
1510225958,69,71
1510226916,83,117
1510227857,51,5
1510228837,84,72
1510229802,59,69
1510230750,78,67
1510231699,59,69
1510232681,79,58
1510233626,62,53
1510234591,72,71
1510235547,56,60
1510236497,59,52
1510237468,52,54
1510238424,50,27
1510239383,73,79
1510240356,56,26
1510241310,66,110
1510242260,56,61
1510243226,82,68
1510244199,76,63
1510245136,70,63
1510246099,46,43
1510247073,78,69
1510248031,66,47
1510249239,92,73
1510250182,62,79
1510251138,59,45
1510252115,57,80
1510253067,56,45
1510254057,59,62
1510254989,59,49
1510255953,67,66
1510256899,69,62
1510257875,68,65
1510258825,57,40
1510259775,90,83
1510260755,92,69
1510261694,57,68
1510262668,52,78
1510263633,71,16
1510264583,80,110
1510265549,66,7
1510266507,54,107
1510268507,172,141
1510269611,71,47
1510270582,76,59
1510271543,83,62
1510272496,94,160
1510273453,60,8
1510274436,64,14
1510275374,83,76
1510276363,74,85
1510277295,81,73
1510278278,101,68
1510279233,87,74
1510280208,59,66
1510281152,64,72
1510282098,80,83
1510283076,103,65
1510284035,39,71
1510284982,71,86
