DateTime,Entries,UniqueIPs
1509991582,62365,62365
1509992657,62345,62345
1509993613,62315,62315
1509994584,62327,62327
1509995552,62344,62344
1509996495,62350,62350
1509997451,62368,62368
1509998438,62375,62375
1509999375,62382,62382
1510000350,62444,62444
1510001293,62424,62424
1510002278,62493,62493
1510003228,62525,62525
1510005421,62560,62560
1510006351,62577,62577
1510007308,62568,62568
1510008252,62573,62573
1510009254,62592,62592
1510010174,62570,62570
1510011158,62622,62622
1510012095,62630,62630
1510013093,62635,62635
1510014043,62603,62603
1510014978,62608,62608
1510015947,62604,62604
1510016911,62583,62583
1510017853,62553,62553
1510018835,62570,62570
1510019788,62591,62591
1510020759,62596,62596
1510021693,62602,62602
1510022688,62629,62629
1510023633,62648,62648
1510024607,62640,62640
1510025553,62629,62629
1510026502,62613,62613
1510027462,62613,62613
1510028447,62593,62593
1510029376,62592,62592
1510030353,62590,62590
1510031294,62589,62589
1510032278,62580,62580
1510033212,62588,62588
1510034220,62603,62603
1510035140,62590,62590
1510036117,62597,62597
1510037051,62607,62607
1510038040,62611,62611
1510039334,62632,62632
1510040428,62597,62597
1510041390,62612,62612
1510042362,62582,62582
1510043298,62633,62633
1510044257,62648,62648
1510045252,62645,62645
1510046180,62633,62633
1510047151,62617,62617
1510048099,62638,62638
1510049083,62638,62638
1510050031,62654,62654
1510050986,62647,62647
1510051948,62676,62676
1510052899,62660,62660
1510053854,62656,62656
1510054830,62631,62631
1510055810,62627,62627
1510056760,62624,62624
1510057713,62597,62597
1510058656,62634,62634
1510059644,62568,62568
1510060592,62617,62617
1510061552,62582,62582
1510062506,62623,62623
1510063474,62636,62636
1510064689,62628,62628
1510065624,62624,62624
1510066572,62642,62642
1510067559,62638,62638
1510068498,62633,62633
1510069455,62625,62625
1510070445,62616,62616
1510071395,62605,62605
1510072357,62618,62618
1510073294,62614,62614
1510074283,62641,62641
1510075227,62659,62659
1510076184,62694,62694
1510077162,62726,62726
1510078121,62748,62748
1510079054,62757,62757
1510080035,62775,62775
1510080988,62775,62775
1510081953,62752,62752
1510082896,62752,62752
1510083875,62709,62709
1510084827,62672,62672
1510087264,62683,62683
1510088200,62675,62675
1510089153,62702,62702
1510090104,62688,62688
1510091078,62684,62684
1510092015,62691,62691
1510092999,62700,62700
1510093938,62695,62695
1510094923,62707,62707
1510095861,62742,62742
1510096824,62720,62720
1510097785,62772,62772
1510098749,62735,62735
1510099904,62716,62716
1510100904,62760,62760
1510101870,62669,62669
1510102866,62670,62670
1510103789,62704,62704
1510104742,62698,62698
1510105708,62650,62650
1510106681,62662,62662
1510107630,62714,62714
1510108579,62663,62663
1510109547,62656,62656
1510110516,62704,62704
1510111456,62759,62759
1510112429,62734,62734
1510113372,62794,62794
1510114358,62797,62797
1510115298,62778,62778
1510116262,62756,62756
1510117238,62765,62765
1510118199,62758,62758
1510119152,62816,62816
1510120119,62796,62796
1510121061,62844,62844
1510122023,62816,62816
1510122988,62872,62872
1510123955,62822,62822
1510124905,62854,62854
1510125863,62857,62857
1510127091,62821,62821
1510128020,62822,62822
1510128995,62827,62827
1510129970,62825,62825
1510130904,62812,62812
1510131883,62835,62835
1510132815,62835,62835
1510133796,62836,62836
1510134751,62817,62817
1510135701,62809,62809
1510136664,62810,62810
1510137662,62800,62800
1510138586,62790,62790
1510139586,62795,62795
1510140507,62801,62801
1510141464,62812,62812
1510142456,62820,62820
1510143403,62814,62814
1510144345,62823,62823
1510145327,62824,62824
1510146265,62866,62866
1510147231,62836,62836
1510148180,62872,62872
1510149159,62846,62846
1510150093,62879,62879
1510151074,62847,62847
1510152023,62876,62876
1510152990,62838,62838
1510153938,62876,62876
1510154916,62848,62848
1510155860,62882,62882
1510156836,62888,62888
1510157789,62859,62859
1510158767,62920,62920
1510159696,62935,62935
1510160672,62926,62926
1510161626,62941,62941
1510162592,62959,62959
1510163548,62971,62971
1510164514,62952,62952
1510166951,62950,62950
1510167863,62942,62942
1510168844,62942,62942
1510169775,62984,62984
1510170765,63011,63011
1510171694,63008,63008
1510172672,62982,62982
1510173617,62992,62992
1510174601,62977,62977
1510175534,62983,62983
1510176505,62972,62972
1510177469,62931,62931
1510178441,62881,62881
1510179399,62848,62848
1510180359,62802,62802
1510181318,62823,62823
1510182279,62842,62842
1510183472,62832,62832
1510184686,62802,62802
1510185632,62772,62772
1510186837,62764,62764
1510187793,62762,62762
1510188733,62730,62730
1510189709,62724,62724
1510190655,62705,62705
1510191612,62703,62703
1510192595,62720,62720
1510193536,62747,62747
1510194508,62729,62729
1510195457,62726,62726
1510196476,62716,62716
1510197381,62732,62732
1510198350,62728,62728
1510199302,62733,62733
1510200481,62760,62760
1510201466,62770,62770
1510202791,62783,62783
1510203871,62744,62744
1510204952,62754,62754
1510205906,62776,62776
1510206862,62779,62779
1510207834,62794,62794
1510208788,62834,62834
1510209948,62815,62815
1510210968,62831,62831
1510211944,62846,62846
1510212988,62882,62882
1510214323,62893,62893
1510215387,62910,62910
1510216342,62907,62907
1510217318,62887,62887
1510218262,62910,62910
1510221144,62908,62908
1510222105,62937,62937
1510223054,62930,62930
1510224026,62937,62937
1510225009,62927,62927
1510225958,62925,62925
1510226916,62891,62891
1510227857,62937,62937
1510228837,62949,62949
1510229802,62939,62939
1510230750,62950,62950
1510231699,62940,62940
1510232681,62961,62961
1510233626,62970,62970
1510234591,62971,62971
1510235547,62967,62967
1510236497,62974,62974
1510237468,62972,62972
1510238424,62995,62995
1510239383,62989,62989
1510240356,63019,63019
1510241310,62975,62975
1510242260,62970,62970
1510243226,62984,62984
1510244199,62997,62997
1510245136,63004,63004
1510246099,63007,63007
1510247073,63016,63016
1510248031,63035,63035
1510249239,63054,63054
1510250182,63037,63037
1510251138,63051,63051
1510252115,63028,63028
1510253067,63039,63039
1510254057,63036,63036
1510254989,63046,63046
1510255953,63047,63047
1510256899,63054,63054
1510257875,63057,63057
1510258825,63074,63074
1510259775,63081,63081
1510260755,63104,63104
1510261694,63093,63093
1510262668,63067,63067
1510263633,63122,63122
1510264583,63092,63092
1510265549,63151,63151
1510266507,63098,63098
1510268507,63129,63129
1510269611,63153,63153
1510270582,63170,63170
1510271543,63191,63191
1510272496,63125,63125
1510273453,63177,63177
1510274436,63227,63227
1510275374,63234,63234
1510276363,63223,63223
1510277295,63231,63231
1510278278,63264,63264
1510279233,63277,63277
1510280208,63270,63270
1510281152,63262,63262
1510282098,63259,63259
1510283076,63297,63297
1510284035,63265,63265
1510284982,63250,63250
1510285949,63273,63273
1510286897,63263,63263
1510287888,63264,63264
1510288814,63265,63265
1510289813,63282,63282
1510290735,63293,63293
