DateTime,Entries,UniqueIPs
1509991582,2707,2707
1509992657,2712,2712
1509993613,2718,2718
1509994584,2721,2721
1509995552,2724,2724
1509996495,2721,2721
1509997451,2725,2725
1509998438,2720,2720
1509999375,2727,2727
1510000350,2720,2720
1510001293,2729,2729
1510002278,2726,2726
1510003228,2725,2725
1510005421,2739,2739
1510006351,2749,2749
1510007308,2748,2748
1510008252,2742,2742
1510009254,2743,2743
1510010174,2748,2748
1510011158,2755,2755
1510012095,2742,2742
1510013093,2744,2744
1510014043,2730,2730
1510014978,2712,2712
1510015947,2693,2693
1510016911,2666,2666
1510017853,2624,2624
1510018835,2610,2610
1510019788,2608,2608
1510020759,2606,2606
1510021693,2595,2595
1510022688,2598,2598
1510023633,2606,2606
1510024607,2609,2609
1510025553,2616,2616
1510026502,2621,2621
1510027462,2632,2632
1510028447,2641,2641
1510029376,2647,2647
1510030353,2646,2646
1510031294,2652,2652
1510032278,2657,2657
1510033212,2665,2665
1510034220,2668,2668
1510035140,2669,2669
1510036117,2665,2665
1510037051,2667,2667
1510038040,2661,2661
1510039334,2656,2656
1510040428,2651,2651
1510041390,2647,2647
1510042362,2649,2649
1510043298,2651,2651
1510044257,2648,2648
1510045252,2649,2649
1510046180,2643,2643
1510047151,2654,2654
1510048099,2640,2640
1510049083,2642,2642
1510050031,2642,2642
1510050986,2638,2638
1510051948,2629,2629
1510052899,2620,2620
1510053854,2607,2607
1510054830,2594,2594
1510055810,2590,2590
1510056760,2594,2594
1510057713,2603,2603
1510058656,2606,2606
1510059644,2606,2606
1510060592,2604,2604
1510061552,2611,2611
1510062506,2617,2617
1510063474,2626,2626
1510064689,2632,2632
1510065624,2637,2637
1510066572,2636,2636
1510067559,2634,2634
1510068498,2643,2643
1510069455,2643,2643
1510070445,2653,2653
1510071395,2663,2663
1510072357,2678,2678
1510073294,2676,2676
1510074283,2675,2675
1510075227,2678,2678
1510076184,2666,2666
1510077162,2654,2654
1510078121,2643,2643
1510079054,2651,2651
1510080035,2652,2652
1510080988,2645,2645
1510081953,2643,2643
1510082896,2643,2643
1510083875,2648,2648
1510084827,2650,2650
1510087264,2637,2637
1510088200,2642,2642
1510089153,2637,2637
1510090104,2646,2646
1510091078,2644,2644
1510092015,2650,2650
1510092999,2652,2652
1510093938,2653,2653
1510094923,2646,2646
1510095861,2653,2653
1510096824,2645,2645
1510097785,2649,2649
1510098749,2642,2642
1510099904,2638,2638
1510100904,2633,2633
1510101870,2612,2612
1510102866,2588,2588
1510103789,2577,2577
1510104742,2572,2572
1510105708,2568,2568
1510106681,2551,2551
1510107630,2549,2549
1510108579,2547,2547
1510109547,2555,2555
1510110516,2565,2565
1510111456,2576,2576
1510112429,2579,2579
1510113372,2584,2584
1510114358,2601,2601
1510115298,2609,2609
1510116262,2621,2621
1510117238,2628,2628
1510118199,2633,2633
1510119152,2636,2636
1510120119,2651,2651
1510121061,2654,2654
1510122023,2651,2651
1510122988,2652,2652
1510123955,2666,2666
1510124905,2667,2667
1510125863,2662,2662
1510127091,2674,2674
1510128020,2689,2689
1510128995,2684,2684
1510129970,2686,2686
1510130904,2697,2697
1510131883,2714,2714
1510132815,2713,2713
1510133796,2703,2703
1510134751,2710,2710
1510135701,2718,2718
1510136664,2717,2717
1510137662,2713,2713
1510138586,2695,2695
1510139586,2691,2691
1510140507,2689,2689
1510141464,2698,2698
1510142456,2684,2684
1510143403,2686,2686
1510144345,2682,2682
1510145327,2683,2683
1510146265,2694,2694
1510147231,2694,2694
1510148180,2695,2695
1510149159,2688,2688
1510150093,2689,2689
1510151074,2691,2691
1510152023,2687,2687
1510152990,2680,2680
1510153938,2677,2677
1510154916,2678,2678
1510155860,2673,2673
1510156836,2672,2672
1510157789,2677,2677
1510158767,2691,2691
1510159696,2703,2703
1510160672,2710,2710
1510161626,2727,2727
1510162592,2726,2726
1510163548,2734,2734
1510164514,2731,2731
1510166951,2739,2739
1510167863,2745,2745
1510168844,2751,2751
1510169775,2745,2745
1510170765,2740,2740
1510171694,2740,2740
1510172672,2737,2737
1510173617,2736,2736
1510174601,2735,2735
1510175534,2731,2731
1510176505,2732,2732
1510177469,2735,2735
1510178441,2742,2742
1510179399,2737,2737
1510180359,2731,2731
1510181318,2740,2740
1510182279,2740,2740
1510183472,2737,2737
1510184686,2731,2731
1510185632,2728,2728
1510186837,2707,2707
1510187793,2704,2704
1510188733,2691,2691
1510189709,2687,2687
1510190655,2666,2666
1510191612,2670,2670
1510192595,2682,2682
1510193536,2696,2696
1510194508,2693,2693
1510195457,2703,2703
1510196476,2717,2717
1510197381,2723,2723
1510198350,2723,2723
1510199302,2742,2742
1510200481,2749,2749
1510201466,2761,2761
1510202791,2763,2763
1510203871,2756,2756
1510204952,2756,2756
1510205906,2753,2753
1510206862,2761,2761
1510207834,2771,2771
1510208788,2778,2778
1510209948,2792,2792
1510210968,2799,2799
1510211944,2803,2803
1510212988,2802,2802
1510214323,2805,2805
1510215387,2810,2810
1510216342,2797,2797
1510217318,2784,2784
1510218262,2787,2787
1510221144,2761,2761
1510222105,2786,2786
1510223054,2789,2789
1510224026,2794,2794
1510225009,2787,2787
1510225958,2780,2780
1510226916,2787,2787
1510227857,2786,2786
1510228837,2780,2780
1510229802,2785,2785
1510230750,2786,2786
1510231699,2800,2800
1510232681,2797,2797
1510233626,2813,2813
1510234591,2813,2813
1510235547,2824,2824
1510236497,2827,2827
1510237468,2824,2824
1510238424,2811,2811
1510239383,2805,2805
1510240356,2795,2795
1510241310,2795,2795
1510242260,2794,2794
1510243226,2812,2812
1510244199,2828,2828
1510245136,2831,2831
1510246099,2833,2833
1510247073,2828,2828
1510248031,2834,2834
1510249239,2829,2829
1510250182,2836,2836
1510251138,2820,2820
1510252115,2819,2819
1510253067,2824,2824
1510254057,2838,2838
1510254989,2845,2845
1510255953,2844,2844
1510256899,2855,2855
1510257875,2864,2864
1510258825,2873,2873
1510259775,2882,2882
1510260755,2886,2886
1510261694,2893,2893
1510262668,2892,2892
1510263633,2885,2885
1510264583,2878,2878
1510265549,2882,2882
1510266507,2879,2879
1510268507,2913,2913
1510269611,2919,2919
1510270582,2916,2916
1510271543,2916,2916
