DateTime,AddedIPs,RemovedIPs
1509991580,15,16
1509992655,13,7
1509993610,7,2
1509994582,11,4
1509995550,9,7
1509996492,1,7
1509997449,7,8
1509998436,1,3
1509999373,8,6
1510000348,4,4
1510001291,8,13
1510002275,8,0
1510003226,6,0
1510005418,11,15
1510006349,9,5
1510007306,2,6
1510008249,3,6
1510009251,9,2
1510010172,8,13
1510011155,10,0
1510012092,3,8
1510013090,9,20
1510014041,8,40
1510014976,12,37
1510015944,4,40
1510016909,6,43
1510017850,5,23
1510018833,6,22
1510019786,13,10
1510020757,12,11
1510021691,12,18
1510022686,16,16
1510023631,16,22
1510024605,10,12
1510025550,11,16
1510026500,22,8
1510027460,13,10
1510028444,15,13
1510029373,16,15
1510030350,9,12
1510031291,12,12
1510032275,13,12
1510033210,9,18
1510034217,21,11
1510035137,11,16
1510036114,8,10
1510037048,14,9
1510038037,13,19
1510039331,14,14
1510040426,10,13
1510041388,11,4
1510042360,7,34
1510043295,11,0
1510044254,13,24
1510045249,10,22
1510046177,13,11
1510047148,11,26
1510048097,4,0
1510049080,13,27
1510050029,11,18
1510050984,6,11
1510051946,7,0
1510052897,9,6
1510053852,10,10
1510054827,8,14
1510055808,8,9
1510056757,8,7
1510057711,5,4
1510058654,14,0
1510059642,8,17
1510060590,8,0
1510061550,10,14
1510062504,6,0
1510063472,8,8
1510064687,10,14
1510065622,7,0
1510066570,9,0
1510067557,12,19
1510068495,16,12
1510069452,4,9
1510070442,7,6
1510071393,13,6
1510072355,5,8
1510073291,5,6
1510074281,8,5
1510075225,5,5
1510076182,3,10
1510077160,7,9
1510078119,8,11
1510079051,5,5
1510080033,8,7
1510080986,8,8
1510081951,5,3
1510082893,1,10
1510083872,3,10
1510084825,5,6
1510087261,12,11
1510088198,4,8
1510089151,5,10
1510090101,5,12
1510091076,5,5
1510092013,5,8
1510092996,9,5
1510093935,5,11
1510094920,4,1
1510095858,8,9
1510096821,4,5
1510097783,3,0
1510098747,6,34
1510099902,7,26
1510100901,7,0
1510101868,7,56
1510102864,6,23
1510103786,7,0
1510104739,17,23
1510105705,15,32
1510106678,7,17
1510107628,14,0
1510108577,10,32
1510109544,13,9
1510110513,20,14
1510111454,22,0
1510112426,18,22
1510113369,20,0
1510114356,19,19
1510115295,20,24
1510116259,13,18
1510117236,19,16
1510118197,11,9
1510119150,17,0
1510120116,22,17
1510121059,15,0
1510122020,14,39
1510122986,13,0
1510123952,15,23
1510124902,13,0
1510125861,9,17
1510127088,22,32
1510128018,12,13
1510128993,10,10
1510129967,14,10
1510130901,15,32
1510131881,18,7
1510132812,8,10
1510133794,11,12
1510134748,18,11
1510135698,11,11
1510136661,5,12
1510137659,8,8
1510138584,5,14
1510139584,12,20
1510140504,5,7
1510141461,12,7
1510142454,13,10
1510143401,10,11
1510144342,7,7
1510145324,4,10
1510146262,9,0
1510147229,10,12
1510148178,6,0
1510149156,4,17
1510150091,6,0
1510151071,10,16
1510152021,5,0
1510152987,9,22
1510153935,7,0
1510154913,7,11
1510155858,8,0
1510156834,5,8
1510157787,11,15
1510158765,13,0
1510159693,3,9
1510160669,11,11
1510161623,12,3
1510162589,14,8
1510163545,9,9
1510164511,9,8
1510166948,16,19
1510167861,8,5
1510168842,7,7
1510169772,6,5
1510170762,7,3
1510171691,7,11
1510172670,7,16
1510173614,4,15
1510174599,8,20
1510175532,5,14
1510176502,2,8
1510177467,7,11
1510178438,9,10
1510179397,4,7
1510180357,5,5
1510181316,9,11
1510182276,4,10
1510183469,9,13
1510184683,5,11
1510185630,11,26
1510186835,10,34
1510187790,16,39
1510188730,15,28
1510189706,15,22
1510190653,15,39
1510191610,18,20
1510192593,28,17
1510193533,37,22
1510194505,19,11
1510195454,27,11
1510196473,29,21
1510197379,11,12
