DateTime,AddedIPs,RemovedIPs
1509991580,15,10
1509992655,13,8
1509993610,7,4
1509994582,11,5
1509995550,9,5
1509996492,1,5
1509997449,7,6
1509998436,1,7
1509999373,8,1
1510000348,4,4
1510001291,8,2
1510002275,8,8
1510003226,6,3
1510005418,11,8
1510006349,9,2
1510007306,2,2
1510008249,3,7
1510009251,9,8
1510010172,8,5
1510011155,10,4
1510012092,3,9
1510013090,9,12
1510014041,8,23
1510014976,12,31
1510015944,4,24
1510016909,6,26
1510017850,5,48
1510018833,6,20
1510019786,13,19
1510020757,12,11
1510021691,12,18
1510022686,16,7
1510023631,16,8
1510024605,10,11
1510025550,11,8
1510026500,22,9
1510027460,13,7
1510028444,15,7
1510029373,16,11
1510030350,9,6
1510031291,12,6
1510032275,13,11
1510033210,9,6
1510034217,21,13
1510035137,11,6
1510036114,8,10
1510037048,14,11
1510038037,13,26
1510039331,14,17
1510040426,10,20
1510041388,11,11
1510042360,7,12
1510043295,11,7
1510044254,13,12
1510045249,10,13
1510046177,13,10
1510047148,11,7
1510048097,4,19
1510049080,13,7
1510050029,11,7
1510050984,6,12
1510051946,7,15
1510052897,9,13
1510053852,10,8
1510054827,8,8
1510055808,8,10
1510056757,8,4
1510057711,5,5
1510058654,14,15
1510059642,8,10
1510060590,8,10
1510061550,10,4
1510062504,6,6
1510063472,8,6
1510064687,10,5
1510065622,7,4
1510066570,9,2
1510067557,12,9
1510068495,16,4
1510069452,4,5
1510070442,7,10
1510071393,13,6
1510072355,5,3
1510073291,5,7
1510074281,8,8
1510075225,5,6
1510076182,3,11
1510077160,7,10
1510078119,8,12
1510079051,5,3
1510080033,8,11
1510080986,8,10
1510081951,5,5
1510082893,1,4
1510083872,3,4
1510084825,5,6
1510087261,12,14
1510088198,4,3
1510089151,5,7
1510090101,5,5
1510091076,5,9
1510092013,5,5
1510092996,9,7
1510093935,5,3
1510094920,4,3
1510095858,8,6
1510096821,4,8
1510097783,3,2
1510098747,6,9
1510099902,7,16
1510100901,7,18
1510101868,7,24
1510102864,6,28
