DateTime,AddedIPs,RemovedIPs
1509991582,74,62
1509992657,32,24
1509993613,31,33
1509994584,40,25
1509995552,41,23
1509996495,44,23
1509997451,24,26
1509998438,32,31
1509999375,30,26
1510000350,56,21
1510001293,44,27
1510002278,61,31
1510003228,35,23
1510005421,84,74
1510006351,37,0
1510007308,28,32
1510008252,26,15
1510009254,32,52
1510010174,32,0
1510011158,28,50
1510012095,47,0
1510013093,46,54
1510014043,27,37
1510014978,31,0
1510015947,52,29
1510016911,29,61
1510017853,31,0
1510018835,30,44
1510019788,32,23
1510020759,39,27
1510021693,37,0
1510022688,43,52
1510023633,34,0
1510024607,25,41
1510025553,32,0
1510026502,26,32
1510027462,27,45
1510028447,25,53
1510029376,38,0
1510030353,31,54
1510031294,33,0
1510032278,31,44
1510033212,32,0
1510034220,38,47
1510035140,38,0
1510036117,29,62
1510037051,30,0
1510038040,40,58
1510039334,40,23
1510040428,29,31
1510041390,29,32
1510042362,24,36
1510043298,30,28
1510044257,37,21
1510045252,21,21
1510046180,32,19
1510047151,44,18
1510048099,18,33
1510049083,43,31
1510050031,36,37
1510050986,30,12
1510051948,33,30
1510052899,29,15
1510053854,42,45
1510054830,45,0
1510055810,47,40
1510056760,47,23
1510057713,30,39
1510058656,34,22
1510059644,40,22
1510060592,44,24
1510061552,36,33
1510062506,32,22
1510063474,30,61
1510064689,44,24
1510065624,24,24
1510066572,37,36
1510067559,37,25
1510068498,39,30
1510069455,41,33
1510070445,28,34
1510071395,27,26
1510072357,36,34
1510073294,20,28
1510074283,47,24
1510075227,28,32
1510076184,62,30
1510077162,55,30
1510078121,39,30
1510079054,34,42
1510080035,38,21
1510080988,40,31
1510081953,32,17
1510082896,49,36
1510083875,25,39
1510084827,35,18
1510087264,103,76
1510088200,38,24
1510089153,44,0
1510090104,18,30
1510091078,29,45
1510092015,24,0
1510092999,41,46
1510093938,34,23
1510094923,39,21
1510095861,38,18
1510096824,21,20
1510097785,39,21
1510098749,36,0
1510099904,40,15
1510100904,34,55
1510101870,28,39
1510102866,36,29
1510103789,18,28
1510104742,29,0
1510105708,23,50
1510106681,39,33
1510107630,33,27
1510108579,37,0
1510109547,30,29
1510110516,39,0
1510111456,31,7
1510112429,36,24
1510113372,30,0
1510114358,40,16
1510115298,25,0
1510116262,31,7
1510117238,29,28
1510118199,40,0
1510119152,24,92
1510120119,35,186
1510121061,38,0
1510122023,34,28
1510122988,34,55
