DateTime,AddedIPs,RemovedIPs
1509991582,1894,1894
1509992657,838,838
1509993613,716,716
1509994584,748,748
1509995552,792,792
1509996495,788,788
1509997451,723,723
1509998438,780,780
1509999375,633,633
1510000350,897,897
1510001293,800,800
1510002278,823,823
1510003228,474,474
1510005421,1885,1885
1510006351,690,690
1510007308,781,781
1510008252,743,743
1510009254,775,775
1510010174,676,676
1510011158,632,632
1510012095,936,936
1510013093,822,822
1510014043,450,450
1510014978,710,710
1510015947,997,997
1510016911,720,720
1510017853,619,619
1510018835,782,782
1510019788,884,884
1510020759,781,781
1510021693,625,625
1510022688,770,770
1510023633,745,745
1510024607,760,760
1510025553,787,787
1510026502,605,605
1510027462,756,756
1510028447,641,641
1510029376,691,691
1510030353,711,711
1510031294,747,747
1510032278,735,735
1510033212,670,670
1510034220,669,669
1510035140,797,797
1510036117,683,683
1510037051,545,545
1510038040,738,738
1510039334,1008,1008
1510040428,729,729
1510041390,745,745
1510042362,626,626
1510043298,666,666
1510044257,784,784
1510045252,651,651
1510046180,614,614
1510047151,762,762
1510048099,532,532
1510049083,648,648
1510050031,776,776
1510050986,614,614
1510051948,753,753
1510052899,495,495
1510053854,730,730
1510054830,629,629
1510055810,719,719
1510056760,743,743
1510057713,598,598
1510058656,695,695
1510059644,675,675
1510060592,739,739
1510061552,655,655
1510062506,611,611
1510063474,720,720
1510064689,874,874
1510065624,596,596
1510066572,757,757
1510067559,626,626
1510068498,732,732
1510069455,697,697
1510070445,653,653
1510071395,741,741
1510072357,771,771
1510073294,530,530
1510074283,858,858
1510075227,596,596
1510076184,873,873
1510077162,725,725
1510078121,894,894
1510079054,731,731
1510080035,905,905
1510080988,696,696
1510081953,754,754
1510082896,834,834
1510083875,707,707
1510084827,752,752
1510087264,1639,1639
1510088200,704,704
1510089153,811,811
1510090104,517,517
1510091078,826,826
1510092015,716,716
1510092999,702,702
1510093938,732,732
1510094923,810,810
1510095861,700,700
1510096824,531,531
1510097785,937,937
1510098749,731,731
1510099904,928,928
1510100904,825,825
1510101870,644,644
1510102866,847,847
1510103789,647,647
1510104742,779,779
1510105708,863,863
1510106681,760,760
1510107630,641,641
1510108579,767,767
1510109547,720,720
1510110516,811,811
1510111456,686,686
1510112429,640,640
1510113372,849,849
1510114358,680,680
1510115298,779,779
1510116262,743,743
1510117238,665,665
1510118199,801,801
1510119152,821,821
1510120119,814,814
1510121061,715,715
1510122023,656,656
1510122988,759,759
1510123955,695,695
1510124905,540,540
1510125863,721,721
1510127091,946,946
1510128020,696,696
1510128995,610,610
1510129970,689,689
1510130904,817,817
1510131883,765,765
1510132815,748,748
1510133796,742,742
1510134751,729,729
1510135701,630,630
1510136664,750,750
1510137662,549,549
1510138586,778,778
1510139586,667,667
1510140507,676,676
1510141464,699,699
1510142456,731,731
1510143403,618,618
1510144345,708,708
1510145327,707,707
1510146265,723,723
1510147231,611,611
1510148180,652,652
1510149159,701,701
1510150093,625,625
1510151074,739,739
1510152023,618,618
1510152990,749,749
1510153938,540,540
1510154916,850,850
1510155860,555,555
1510156836,821,821
1510157789,720,720
1510158767,663,663
1510159696,736,736
1510160672,704,704
1510161626,679,679
1510162592,672,672
1510163548,684,684
1510164514,579,579
1510166951,1651,1651
1510167863,603,603
1510168844,530,530
1510169775,944,944
1510170765,731,731
1510171694,851,851
1510172672,396,396
1510173617,1003,1003
1510174601,717,717
1510175534,607,607
1510176505,765,765
1510177469,693,693
1510178441,619,619
1510179399,665,665
1510180359,668,668
1510181318,768,768
1510182279,730,730
1510183472,848,848
1510184686,814,814
1510185632,699,699
1510186837,892,892
1510187793,584,584
1510188733,650,650
1510189709,684,684
1510190655,802,802
1510191612,580,580
1510192595,784,784
1510193536,701,701
1510194508,546,546
1510195457,779,779
1510196476,714,714
1510197381,624,624
1510198350,689,689
1510199302,749,749
1510200481,818,818
1510201466,831,831
1510202791,942,942
1510203871,913,913
1510204952,773,773
1510205906,735,735
1510206862,651,651
1510207834,692,692
1510208788,647,647
1510209948,1016,1016
1510210968,730,730
1510211944,648,648
1510212988,911,911
1510214323,1001,1001
1510215387,854,854
1510216342,719,719
1510217318,691,691
1510218262,769,769
1510221144,1934,1934
1510222105,602,602
1510223054,800,800
1510224026,586,586
1510225009,684,684
1510225958,728,728
1510226916,571,571
1510227857,569,569
1510228837,693,693
1510229802,570,570
1510230750,797,797
1510231699,529,529
1510232681,847,847
1510233626,558,558
1510234591,780,780
1510235547,781,781
1510236497,491,491
1510237468,626,626
1510238424,644,644
1510239383,753,753
1510240356,745,745
1510241310,685,685
1510242260,599,599
1510243226,771,771
1510244199,649,649
1510245136,750,750
1510246099,546,546
1510247073,840,840
1510248031,524,524
1510249239,947,947
