DateTime,AddedIPs,RemovedIPs
1510134751,190,150
1510135299,75,0
1510135701,178,209
1510136664,191,179
1510137662,166,182
1510138586,192,122
1510138899,86,0
1510139586,169,187
1510140507,171,161
1510141464,188,201
1510142456,187,199
1510142499,97,0
1510143403,172,137
1510144345,187,142
1510145327,202,186
1510146265,237,204
1510147231,162,168
1510148180,166,155
1510149159,167,199
1510149699,73,0
1510150093,169,226
1510151074,172,5
1510152023,155,178
1510152990,197,375
1510153299,40,0
1510153938,126,0
1510154916,298,312
1510155860,171,170
1510156836,202,15
1510156900,46,1
1510157789,182,199
1510158767,185,343
1510159696,201,207
1510160672,251,17
1510161134,12,25
1510161626,186,197
1510162592,232,488
1510163548,190,18
1510164514,196,266
1510166951,505,669
1510167863,297,188
1510168844,186,250
1510169775,302,208
1510170765,256,194
1510171299,34,0
1510171694,262,412
1510172672,130,6
1510173617,281,8
1510174601,206,398
1510174900,64,0
1510175534,183,20
1510176505,275,403
1510177469,185,6
1510178441,182,430
1510178499,31,0
1510179399,185,203
1510180359,237,296
1510181318,218,6
1510182279,281,357
1510183472,251,261
1510184345,3,0
1510184686,214,225
1510185632,216,248
1510186316,36,1381
1510186837,280,278
1510187793,196,214
1510188269,6,5
1510188733,168,244
1510189300,28,0
1510189709,224,240
1510190191,5,1
1510190655,245,203
1510191612,175,252
1510192112,6,5
1510192595,226,222
1510192899,24,0
1510193536,234,173
1510194038,6,0
1510194508,183,221
1510195457,213,206
1510195951,4,5
1510196476,223,241
1510196500,41,0
1510197381,187,174
1510197867,3,4
1510198350,165,176
1510199302,209,242
1510199940,7,1
1510200481,284,187
1510201466,239,218
1510202219,1,4
1510202791,323,372
1510203871,353,238
1510204463,7,5
1510204952,245,243
1510205906,206,220
1510206370,5,10
1510206862,249,208
1510207834,305,204
1510208309,4,5
1510208788,183,234
1510209948,299,226
1510210460,3,6
1510210968,199,178
1510211944,279,239
1510212270,7,3
1510212988,244,288
1510214323,268,231
1510214500,104,0
1510215387,232,222
1510216110,6,0
1510216342,183,224
1510217318,196,515
1510218262,232,18
1510220455,2,5
1510221144,509,765
1510221700,78,0
1510222105,182,420
1510222600,0,4
1510223054,220,17
1510224026,167,181
1510224521,5,2
1510225009,189,413
1510225299,88,0
1510225958,182,5
1510226916,169,365
1510227857,142,15
1510228339,4,4
1510228837,198,193
1510228900,97,0
1510229802,166,173
1510230269,5,1
1510230750,218,415
1510231699,142,2
1510232681,278,390
1510233626,147,0
1510234097,8,2
1510234591,192,336
1510235547,164,6
1510236044,6,0
1510236099,90,0
1510236497,149,344
1510237468,162,14
1510238424,171,319
1510239383,192,12
1510239874,53,1
1510240356,187,339
1510241310,203,21
1510241795,3,3
1510242260,191,173
1510243226,254,218
1510243300,41,0
1510244199,220,421
1510245136,201,15
1510245623,6,4
1510246099,153,349
1510247073,307,213
1510247560,25,31
1510248031,180,169
1510249239,294,199
1510249713,7,1
1510250182,178,215
1510250499,132,0
1510251138,238,457
1510252115,198,6
1510253067,151,12
1510253549,3,5
1510254057,208,157
1510254100,39,0
1510254989,200,136
1510255467,7,2
1510255953,194,255
1510256899,182,254
1510257373,2,1
1510257875,253,299
1510258825,130,96
1510259298,5,0
1510259775,262,326
1510260755,243,231
1510261281,4,0
1510261300,49,0
1510261694,149,194
1510262668,145,203
1510263158,57,90
1510263633,281,192
1510264583,195,188
1510265067,45,0
1510265549,213,177
1510266507,125,218
1510268507,546,474
1510269611,333,276
1510270582,194,215
1510271543,231,200
1510272099,162,1510
1510272496,259,315
1510273453,218,156
1510274436,209,242
1510275374,238,197
1510275700,24,0
1510276363,266,270
1510277295,179,153
1510278278,326,255
1510279233,206,221
1510279300,113,0
1510280208,192,174
1510281152,187,236
1510282098,213,211
1510283076,296,194
1510284035,139,170
1510284982,200,236
1510285949,238,247
1510286500,35,0
1510286897,166,257
1510287888,264,271
1510288814,155,11
1510289813,248,280
1510290099,44,0
1510290735,213,246
1510291725,199,236
1510292658,197,196
1510293631,203,227
1510293700,68,0
1510294601,189,184
1510295550,221,408
1510296506,147,224
1510297480,275,197
1510298418,210,319
1510299403,234,311
1510300340,234,17
1510301309,265,237
1510302252,153,205
1510303244,163,181
1510304172,240,210
1510304500,68,0
1510305165,180,536
1510306096,143,14
1510307073,243,16
1510308028,173,106
1510308099,59,1
1510309007,198,195
1510309938,232,147
1510310914,158,184
1510311864,255,192
1510312818,205,177
