DateTime,Entries,UniqueIPs
1510215304,82759,9406391
1510216110,82764,9406396
1510216504,82770,9406403
1510217104,82777,9406410
1510217703,82787,9406421
1510218305,82771,9406405
1510220455,82726,9406358
1510220704,82726,9406358
1510221304,82735,9406367
1510221910,82649,9406275
1510222600,82632,9406259
1510223303,82634,9406261
1510223704,82643,9406270
1510224521,82642,9406269
1510224904,82687,9406314
1510225503,82676,9406366
1510226431,82672,9406363
1510226706,82619,9406310
1510227311,82627,9406255
1510227605,82629,9406257
1510227904,82618,9406246
1510228339,82617,9406246
1510228805,82626,9406254
1510229403,82615,9406243
1510230269,82610,9406238
1510230607,82652,9406280
1510231204,82662,9406290
1510231507,82638,9406267
1510232104,82637,9406266
1510232649,82649,9406280
1510233004,82570,9406193
1510233604,82572,9406194
1510234097,82563,9406183
1510234205,82552,9406172
1510234806,82553,9406173
1510235404,82540,9406159
1510236044,82526,9406146
1510236604,82531,9406152
1510237206,82184,9405798
1510237953,82556,9406178
1510238182,82668,9406302
1510238404,82664,9406298
1510238707,82657,9406290
1510239305,82668,9406302
1510239874,82647,9406281
1510239904,82651,9406287
1510240508,82605,9406239
1510241104,82609,9406244
1510241795,82597,9406230
1510242305,82589,9406220
1510242904,82588,9406217
1510243504,82634,9406265
1510244103,82647,9406278
1510244603,80469,9404093
1510245003,80400,9404024
1510245623,80385,9404009
1510246206,80355,9403979
1510246806,80343,9403967
1510247560,80320,9403942
1510248005,80309,9403927
1510248605,80297,9403915
1510248908,80254,9403869
1510249713,80268,9403887
1510250104,80269,9403888
1510250704,80271,9403892
1510251303,80282,9403903
1510251903,80294,9403915
1510252591,80312,9403933
1510253549,80348,9403970
1510253704,80345,9403967
1510254310,80245,9403864
1510254906,80213,9403833
1510255467,80225,9403847
1510255806,80216,9403837
1510256405,80210,9403831
1510257007,80200,9403821
1510257373,80183,9403804
1510257605,80199,9403820
1510258203,80201,9403822
1510258804,80197,9403770
1510259298,80205,9403778
1510259404,80203,9403776
1510260004,80224,9403798
1510260603,80229,9403803
1510261281,80240,9403815
1510261804,80246,9403821
1510262402,80277,9403854
1510263158,80270,9403848
1510263305,80251,9403827
1510263904,80245,9403821
1510264503,80237,9403813
1510265067,80222,9403799
1510265115,80136,9403709
1510265706,80134,9403707
1510266304,80135,9403709
1510268489,80216,9403796
1510268704,80217,9403797
1510269304,80216,9403796
