DateTime,AddedIPs,RemovedIPs
1510087321,6,14
1510088521,2,11
1510089121,4,5
1510089721,3,6
1510090322,3,1
1510090921,12,6
1510091521,2,5
1510092121,0,7
1510092721,3,0
1510093921,5,0
1510093981,10,2
1510094521,4,4
1510095721,6,6
1510096321,1,5
1510097521,2,16
1510098721,1,0
1510099321,1,2
1510100521,1,13
1510101121,8,2
1510101181,14,3
1510101721,8,1
1510102321,6,5
1510103521,26,40
1510104121,3,3
1510104721,2,0
1510105321,1,0
1510106521,1,2
1510107121,68,10
1510108321,9,8
1510108381,0,3
1510108921,6,0
1510109521,2,7
1510110721,1,2
1510111321,0,6
1510111921,1,8
1510111981,3,0
1510113121,1,0
1510113721,9,15
1510114322,5,0
1510114921,2,0
1510116121,8,4
1510116721,2,1
1510117922,8,1
1510118521,6,2
1510119181,0,13
1510119722,11,2
1510120921,7,1
1510121522,2,1
1510122721,33,9
1510124651,29,3
1510125721,1,1
1510126321,2,0
1510127521,0,2
1510128122,1,2
1510128721,1,5
1510129321,1,3
1510129921,0,1
1510130521,6,11
1510131121,7,24
1510132321,12,1
1510133521,6,14
1510134121,0,5
1510134721,2,0
1510135321,1,0
1510136522,1,1
1510137121,1,0
1510138322,7,7
1510139521,1,2
1510140121,21,0
1510141321,1,3
1510141921,0,3
1510143121,0,1
1510143721,15,0
1510144321,17,9
1510144382,12,20
1510145521,6,44
1510146721,16,26
1510147921,6,10
1510147981,35,4
1510148521,3,6
1510149121,2,1
1510149722,2,2
1510151521,10,4
1510151581,6,3
1510152721,0,1
1510153322,0,1
1510153931,0,4
1510155121,7,5
1510155181,0,5
1510156321,9,6
1510157521,23,0
1510158721,2,10
1510159321,5,4
1510159921,1,0
1510161121,7,10
1510162322,8,18
1510163522,1,0
1510164721,0,3
1510167121,13,40
1510168321,2,8
1510168569,0,7
1510169521,2,0
1510170121,0,10
1510170721,1,0
1510171321,3,0
1510173121,4,0
1510173182,3,5
1510173721,0,4
1510174321,0,1
1510174921,1,0
1510175521,3,4
1510176121,7,0
1510176721,1,3
1510177921,13,4
1510179121,6,6
1510180321,2,9
1510180381,0,4
1510180921,1,1
1510181521,0,2
1510182121,1,5
1510182722,5,0
1510183921,0,3
1510183981,0,3
1510184521,1,0
1510185121,4,2
1510186321,16,7
1510187521,3,1
1510187581,11,22
1510188722,14,7
1510189321,13,0
1510189921,3,0
1510190521,3,3
1510191121,0,17
1510192321,2,6
1510192921,7,12
1510193521,3,0
1510195321,8,17
1510195921,0,7
1510197121,0,10
1510198322,2,6
1510198381,13,0
1510198921,2,0
1510199521,1,1
1510201322,4,0
1510201921,2,2
1510203121,2,15
1510203721,12,1
1510204321,10,6
1510205521,2,2
1510206721,1,3
1510207921,7,17
1510209121,33,5
1510210321,3,1
1510211521,1,2
1510212721,2,9
1510213321,1,0
1510214521,1,8
1510215122,3,4
1510215721,0,3
1510216921,2,0
1510218121,1,5
1510218721,1,2
1510220521,47,16
1510221122,4,7
1510221721,5,2
1510222921,4,2
1510223521,0,4
1510224721,7,3
1510225321,3,2
1510225921,17,11
1510227121,28,5
1510227721,2,9
1510228322,1,0
1510229521,8,2
1510230122,6,6
1510230721,2,0
1510231321,0,8
1510231921,11,2
1510233121,31,25
1510234321,5,6
1510234922,3,4
1510235521,6,7
1510236121,1,11
1510236721,1,0
1510237321,0,9
1510237921,2,4
1510239121,20,8
1510239721,3,3
1510240321,1,0
1510241521,1,8
1510242721,2,1
1510243321,0,1
1510243921,0,7
1510245121,0,1
1510246321,0,1
1510246921,1,6
1510247521,1,4
1510247751,2,8
1510248721,15,0
1510249921,4,12
1510251121,2,1
1510251721,1,4
1510252921,3,0
1510253521,1,9
1510254721,3,3
1510255921,3,11
1510256648,2,0
1510257122,2,1
1510257721,0,10
1510258321,3,3
1510259521,20,1
1510260721,8,12
1510261321,5,0
1510261921,3,0
1510263121,5,14
1510263181,1,0
1510264321,6,12
1510265521,1,9
1510266122,0,9
1510266722,15,0
1510268521,12,12
1510269121,2,7
1510269721,1,0
1510270322,0,1
1510271521,2,0
1510272721,30,32
1510273321,1,0
1510273921,0,4
1510273981,52,1
1510275121,7,3
1510275721,7,9
1510276321,3,3
1510276921,8,9
1510277521,3,0
1510278722,1,4
1510279921,4,5
1510281121,3,2
1510281721,1,4
1510282322,8,0
1510282921,5,3
1510283521,2,8
1510284721,4,10
1510284782,2,0
1510285931,2,6
1510286521,1,20
1510288321,1,11
1510288921,10,3
1510289521,2,7
1510290722,2,1
1510291921,7,4
1510292521,1,0
1510293121,3,6
1510293722,0,1
1510294321,0,3
1510295521,0,4
