DateTime,AddedIPs,RemovedIPs
1509956647,0,1
1509957126,1,1
1509957609,1,1
1509958085,0,2
1509958566,2,0
1509959050,0,2
1509959531,2,1
1509960006,1,0
1509960487,0,1
1509960965,1,0
1509961447,0,1
1509961558,1,0
1509961925,1,1
1509962438,0,2
1509964804,0,1
1509965305,3,0
1509966725,0,1
1509967208,1,2
1509967684,2,0
1509970092,0,2
1509970569,2,0
1509972494,0,1
1509972978,1,0
1509973456,0,1
1509974179,1,0
1509975131,0,2
1509978967,0,1
1509979444,3,0
1509980887,0,2
1509981365,1,0
1509981844,0,2
1509984246,1,3
1509984729,1,0
1509985209,0,3
1509985686,3,0
1509988086,0,1
1509988570,1,0
1509989046,0,4
1509989529,3,0
1509991454,0,2
1509992168,2,0
1509997445,2,0
1509997924,0,2
1509998407,1,0
1509999847,0,1
1510000325,1,0
1510001284,0,5
1510005372,0,2
1510007291,0,1
1510007767,1,0
1510008724,0,1
1510008965,2,0
1510009218,2,0
1510011131,2,0
1510014966,1,0
1510015448,0,2
1510015924,2,1
1510016414,1,0
1510016888,0,3
1510017370,3,1
1510017845,1,0
1510018325,0,1
1510018812,0,2
1510019287,2,0
1510023613,0,2
1510024086,2,2
1510027449,0,1
1510027926,1,0
1510030816,1,0
1510031286,0,1
1510031768,1,1
1510032249,1,1
1510034647,0,1
1510035128,0,2
1510037529,4,1
1510038015,1,1
1510038486,1,0
1510039205,2,1
1510039932,1,2
1510042324,0,1
1510042814,1,0
1510043289,0,2
1510043464,1,0
1510043767,0,1
1510044248,1,1
1510044724,1,0
1510046169,0,1
1510046647,1,0
1510047612,0,2
1510048086,3,0
1510049529,0,1
1510050005,1,0
1510051925,0,2
1510052434,1,0
1510052655,3,0
1510053845,0,2
1510054329,2,1
1510054805,2,0
1510056729,5,1
1510057207,0,1
1510057694,2,0
1510058164,0,1
1510058648,1,0
1510059127,0,1
1510059619,1,0
1510061525,0,2
1510062484,0,1
1510062969,1,2
1510063446,0,1
1510063927,1,0
1510064647,0,1
1510065132,1,0
1510067052,1,0
1510068969,0,2
1510069445,2,0
1510071369,1,1
1510071849,1,0
1510072328,2,1
1510072812,1,0
1510077124,0,2
1510077618,2,0
1510080489,0,2
1510080970,2,1
1510081447,1,0
1510081928,0,1
1510082408,1,0
1510082888,0,1
1510083364,1,0
1510083848,0,2
1510084326,0,2
1510084807,1,0
1510085290,0,1
1510087214,3,1
1510087690,5,3
1510089126,1,0
1510090564,0,1
1510091047,1,0
1510092485,0,1
1510092971,1,1
1510093448,1,0
1510095376,1,0
1510096331,1,0
1510103766,0,1
1510104726,0,1
1510105207,1,1
1510105685,2,0
1510106165,1,0
1510106650,0,1
1510107125,1,1
1510107608,1,0
1510110017,0,2
1510112890,0,1
1510113365,1,0
1510113850,2,2
1510114327,2,0
1510114810,0,2
1510115289,2,0
1510118645,0,1
1510119129,1,2
1510119606,2,0
1510120091,0,1
1510120567,1,0
1510122964,0,3
1510125371,0,1
1510125847,1,0
1510126331,0,1
1510127050,1,0
1510128013,3,0
1510129929,1,0
1510130410,1,0
1510130891,0,1
1510131850,0,1
1510132325,0,2
1510132804,0,1
1510135215,4,0
1510135688,0,1
1510136169,1,0
1510139046,0,1
1510139531,1,0
1510140028,2,0
1510140964,0,2
1510141451,2,0
1510143845,3,0
1510144807,0,1
1510145297,0,1
1510145766,3,0
1510146246,0,1
1510146725,1,0
1510151530,1,0
1510152004,0,3
1510152490,1,0
1510157288,0,3
1510158730,0,1
1510159205,1,0
1510159688,0,1
1510160165,1,1
1510160652,1,0
1510162085,2,0
1510164488,0,1
1510166892,0,3
1510167365,1,0
1510167847,0,3
1510168325,3,0
1510169763,0,2
1510170247,3,0
1510170726,1,0
1510171686,0,1
1510172165,1,0
1510173609,0,2
1510174088,1,6
1510175050,0,1
1510175524,1,0
1510176964,0,1
1510177448,1,0
1510177926,0,2
1510178417,2,0
1510179848,0,1
1510180328,3,0
1510183452,0,3
1510183957,3,0
1510186810,0,1
1510187285,1,0
1510187765,0,1
1510188256,1,0
1510189686,0,2
1510190169,2,0
1510190644,0,1
1510191131,1,1
1510191604,3,1
1510192087,1,0
1510193051,1,0
1510195448,0,2
1510196890,0,2
1510197370,2,2
1510197847,1,0
1510201444,0,1
1510201925,1,0
1510204329,2,2
1510204805,2,0
1510208170,1,0
1510208657,0,3
1510209126,3,0
1510211288,0,1
1510211772,1,0
1510212728,0,2
1510213205,2,1
1510217285,1,0
1510217767,0,2
1510220887,0,1
1510221617,1,0
1510222085,2,1
1510222572,1,0
1510223044,0,1
1510223525,1,0
1510227369,0,1
1510227605,2,0
1510227845,1,1
1510228327,1,0
1510229291,0,1
1510229765,1,0
1510230247,4,0
1510232651,0,2
1510234564,0,2
1510235050,2,0
1510235524,0,1
1510237446,1,0
1510237934,0,1
1510238404,1,0
1510241771,0,2
1510243690,0,1
1510244645,0,1
1510245124,1,0
1510246565,1,0
1510249692,0,1
1510250165,1,0
1510251125,2,1
1510254017,0,1
1510254488,1,0
1510254965,0,2
1510255930,0,1
1510256404,1,0
1510258329,1,0
1510258804,1,0
1510260249,7,0
1510262648,0,1
1510263134,1,0
1510264095,0,1
1510264566,1,0
1510265050,0,1
1510265525,1,0
1510269365,0,1
1510269845,1,0
1510271289,1,0
1510274166,0,1
1510274890,1,2
1510275365,3,0
1510275851,0,1
1510276334,1,0
1510277285,0,1
1510277767,0,1
1510278255,0,1
1510278727,1,0
1510279214,0,1
1510279690,1,1
1510280173,1,2
1510280644,2,0
1510283527,0,1
1510284007,0,1
1510284490,1,0
1510284964,0,1
1510285447,1,0
1510285931,0,1
1510286414,1,0
1510286888,0,1
1510287849,0,1
1510288331,1,0
1510290724,0,2
1510291205,0,1
1510291689,1,0
1510293619,0,1
1510294086,1,0
1510295532,1,0
1510296485,0,1
1510296965,1,0
1510297449,0,1
1510297925,1,0
1510298408,0,1
1510300324,2,0
1510301289,0,1
1510302009,0,1
1510302490,1,0
1510303209,4,0
1510304165,0,3
1510304647,1,0
1510305130,0,1
1510305605,0,1
1510306089,1,2
1510306565,2,0
1510308487,2,1
1510308966,1,0
1510309925,1,1
1510310406,0,1
1510310888,1,0
1510311370,0,1
1510311846,1,1
1510312328,2,0
1510315235,1,0
1510315459,158,208
1510317131,0,2
1510317604,2,1
1510318088,1,0
1510318569,0,1
1510319051,1,0
1510319528,0,1
1510320011,1,0
1510324564,0,1
1510325045,1,0
1510326251,1,0
1510327684,0,1
1510328166,1,0
1510328644,0,1
1510329127,1,0
1510330567,0,2
1510331046,2,0
1510331525,1,4
1510332008,1,0
1510332965,0,1
1510333447,1,0
1510333927,0,1
1510334409,1,0
1510336325,0,1
1510336817,1,0
1510337777,0,1
1510338245,1,0
1510344485,2,1
1510345453,1,0
1510346884,0,3
1510347851,0,3
1510348324,1,0
1510348809,0,3
1510349289,3,0
1510353134,0,1
