DateTime,Entries,UniqueIPs
1509956647,4040,4111
1509957126,4040,4111
1509957609,4040,4111
1509958085,4038,4109
1509958566,4040,4111
1509959050,4038,4109
1509959531,4039,4110
1509960006,4040,4111
1509960487,4039,4110
1509960965,4040,4111
1509961447,4039,4110
1509961558,4040,4111
1509961925,4040,4111
1509962438,4038,4109
1509964804,4037,4108
1509965305,4040,4111
1509966725,4039,4110
1509967208,4038,4109
1509967684,4040,4111
1509970092,4038,4109
1509970569,4040,4111
1509972494,4039,4110
1509972978,4040,4111
1509973456,4039,4110
1509974179,4040,4111
1509975131,4038,4109
1509978967,4037,4108
1509979444,4040,4111
1509980887,4038,4109
1509981365,4039,4110
1509981844,4037,4108
1509984246,4035,4106
1509984729,4036,4107
1509985209,4033,4104
1509985686,4036,4107
1509988086,4035,4106
1509988570,4036,4107
1509989046,4032,4103
1509989529,4035,4106
1509991454,4033,4104
1509992168,4035,4106
1509997445,4037,4108
1509997924,4035,4106
1509998407,4036,4107
1509999847,4035,4106
1510000325,4036,4107
1510001284,4031,4102
1510005372,4029,4100
1510007291,4028,4099
1510007767,4029,4100
1510008724,4028,4099
1510008965,4030,4101
1510009218,4032,4103
1510011131,4034,4105
1510014966,4035,4106
1510015448,4033,4104
1510015924,4034,4105
1510016414,4035,4106
1510016888,4032,4103
1510017370,4034,4105
1510017845,4035,4106
1510018325,4034,4105
1510018812,4032,4103
1510019287,4034,4105
1510023613,4032,4103
1510024086,4032,4103
1510027449,4031,4102
1510027926,4032,4103
1510030816,4033,4104
1510031286,4032,4103
1510031768,4032,4103
1510032249,4032,4103
1510034647,4031,4102
1510035128,4029,4100
1510037529,4032,4103
1510038015,4032,4103
1510038486,4033,4104
1510039205,4034,4105
1510039932,4033,4104
1510042324,4032,4103
1510042814,4033,4104
1510043289,4031,4102
1510043464,4032,4103
1510043767,4031,4102
1510044248,4031,4102
1510044724,4032,4103
1510046169,4031,4102
1510046647,4032,4103
1510047612,4030,4101
1510048086,4033,4104
1510049529,4032,4103
1510050005,4033,4104
1510051925,4031,4102
1510052434,4032,4103
1510052655,4035,4106
1510053845,4033,4104
1510054329,4034,4105
1510054805,4036,4107
1510056729,4040,4111
1510057207,4039,4110
1510057694,4041,4112
1510058164,4040,4111
1510058648,4041,4112
1510059127,4040,4111
1510059619,4041,4112
1510061525,4039,4110
1510062484,4038,4109
1510062969,4037,4108
1510063446,4036,4107
1510063927,4037,4108
1510064647,4036,4107
1510065132,4037,4108
1510067052,4038,4109
1510068969,4036,4107
1510069445,4038,4109
1510071369,4037,4109
1510071849,4038,4110
1510072328,4039,4111
1510072812,4040,4112
1510077124,4038,4110
1510077618,4040,4112
1510080489,4038,4110
1510080970,4039,4111
1510081447,4040,4112
1510081928,4039,4111
1510082408,4040,4112
1510082888,4039,4111
1510083364,4040,4112
1510083848,4038,4110
1510084326,4036,4108
1510084807,4037,4109
1510085290,4036,4108
1510087214,4038,4110
1510087690,4040,4112
1510089126,4041,4113
1510090564,4040,4112
1510091047,4041,4113
1510092485,4040,4112
1510092971,4040,4112
1510093448,4041,4113
1510095376,4042,4114
1510096331,4043,4115
1510103766,4042,4114
1510104726,4041,4113
1510105207,4041,4113
1510105685,4043,4115
1510106165,4044,4116
1510106650,4043,4115
1510107125,4043,4115
1510107608,4044,4116
1510110017,4042,4114
1510112890,4041,4113
1510113365,4042,4114
1510113850,4042,4114
1510114327,4044,4116
1510114810,4042,4114
1510115289,4044,4116
1510118645,4043,4115
1510119129,4042,4114
1510119606,4044,4116
1510120091,4043,4115
1510120567,4044,4116
1510122964,4041,4113
1510125371,4040,4112
1510125847,4041,4113
1510126331,4040,4112
1510127050,4041,4113
1510128013,4044,4116
1510129929,4045,4117
1510130410,4046,4118
1510130891,4045,4117
1510131850,4044,4116
1510132325,4042,4114
1510132804,4041,4113
1510135215,4045,4117
1510135688,4044,4116
1510136169,4045,4117
1510139046,4044,4116
1510139531,4045,4117
1510140028,4047,4119
1510140964,4045,4117
1510141451,4047,4119
1510143845,4050,4122
1510144807,4049,4121
1510145297,4048,4120
1510145766,4051,4123
1510146246,4050,4122
1510146725,4051,4123
1510151530,4052,4124
1510152004,4049,4121
1510152490,4050,4122
1510157288,4047,4119
1510158730,4046,4118
1510159205,4047,4119
1510159688,4046,4118
1510160165,4046,4118
1510160652,4047,4119
1510162085,4049,4121
1510164488,4048,4120
1510166892,4045,4117
1510167365,4046,4118
1510167847,4043,4115
1510168325,4046,4118
1510169763,4044,4116
1510170247,4047,4119
1510170726,4048,4120
1510171686,4047,4119
1510172165,4048,4120
1510173609,4046,4118
1510174088,4042,4113
1510175050,4041,4112
1510175524,4042,4113
1510176964,4041,4112
1510177448,4042,4113
1510177926,4040,4111
1510178417,4042,4113
1510179848,4041,4112
1510180328,4044,4115
1510183452,4041,4112
1510183957,4044,4115
1510186810,4043,4114
1510187285,4044,4115
1510187765,4043,4114
1510188256,4044,4115
1510189686,4042,4113
1510190169,4044,4115
1510190644,4043,4114
1510191131,4043,4114
1510191604,4045,4116
1510192087,4046,4117
1510193051,4047,4118
1510195448,4045,4116
1510196890,4043,4114
1510197370,4043,4114
1510197847,4044,4115
1510201444,4043,4114
1510201925,4044,4115
1510204329,4044,4115
1510204805,4046,4117
1510208170,4047,4118
1510208657,4044,4115
1510209126,4047,4118
1510211288,4046,4117
1510211772,4047,4118
1510212728,4045,4116
1510213205,4046,4117
1510217285,4047,4118
1510217767,4045,4116
1510220887,4044,4115
1510221617,4045,4116
1510222085,4046,4117
1510222572,4047,4118
1510223044,4046,4117
1510223525,4047,4118
1510227369,4046,4117
1510227605,4048,4119
1510227845,4048,4119
1510228327,4049,4120
1510229291,4048,4119
1510229765,4049,4120
1510230247,4053,4124
1510232651,4051,4122
1510234564,4049,4120
1510235050,4051,4122
1510235524,4050,4121
1510237446,4051,4122
1510237934,4050,4121
1510238404,4051,4122
1510241771,4049,4120
1510243690,4048,4119
1510244645,4047,4118
1510245124,4048,4119
1510246565,4049,4120
1510249692,4048,4119
1510250165,4049,4120
1510251125,4050,4121
1510254017,4049,4120
1510254488,4050,4121
1510254965,4048,4119
1510255930,4047,4118
1510256404,4048,4119
1510258329,4049,4120
1510258804,4050,4121
1510260249,4056,4128
1510262648,4055,4127
1510263134,4056,4128
1510264095,4055,4127
1510264566,4056,4128
1510265050,4055,4127
1510265525,4056,4128
1510269365,4055,4127
1510269845,4056,4128
1510271289,4057,4129
1510274166,4056,4128
1510274890,4055,4127
1510275365,4058,4130
1510275851,4057,4129
1510276334,4058,4130
1510277285,4057,4129
1510277767,4056,4128
1510278255,4055,4127
1510278727,4056,4128
1510279214,4055,4127
1510279690,4055,4127
1510280173,4054,4126
1510280644,4056,4128
1510283527,4055,4127
1510284007,4054,4126
1510284490,4055,4127
1510284964,4054,4126
1510285447,4055,4127
1510285931,4054,4126
1510286414,4055,4127
1510286888,4054,4126
1510287849,4053,4125
1510288331,4054,4126
1510290724,4052,4124
1510291205,4051,4123
1510291689,4052,4124
1510293619,4051,4123
1510294086,4052,4124
1510295532,4053,4125
1510296485,4052,4124
1510296965,4053,4125
1510297449,4052,4124
1510297925,4053,4125
1510298408,4052,4124
1510300324,4054,4126
1510301289,4053,4125
1510302009,4052,4124
1510302490,4053,4125
1510303209,4057,4129
1510304165,4054,4126
1510304647,4055,4127
1510305130,4054,4126
1510305605,4053,4125
1510306089,4052,4124
1510306565,4054,4126
1510308487,4055,4127
1510308966,4056,4128
1510309925,4056,4128
1510310406,4055,4127
1510310888,4056,4128
1510311370,4055,4127
1510311846,4055,4127
1510312328,4057,4129
1510315235,4058,4130
1510315459,4020,4080
1510317131,4018,4078
1510317604,4019,4079
1510318088,4020,4080
1510318569,4019,4079
1510319051,4020,4080
1510319528,4019,4079
1510320011,4020,4080
1510324564,4019,4079
1510325045,4020,4080
1510326251,4021,4081
1510327684,4020,4080
1510328166,4021,4081
1510328644,4020,4080
1510329127,4021,4081
1510330567,4019,4079
1510331046,4021,4081
1510331525,4018,4078
1510332008,4019,4079
1510332965,4018,4078
1510333447,4019,4079
1510333927,4018,4078
1510334409,4019,4079
1510336325,4018,4078
1510336817,4019,4079
1510337777,4018,4078
1510338245,4019,4079
1510344485,4020,4080
1510345453,4021,4081
1510346884,4018,4078
1510347851,4015,4075
1510348324,4016,4076
1510348809,4013,4073
1510349289,4016,4076
1510353134,4015,4075
1510353606,4016,4076
1510355534,4018,4078
1510356005,4016,4076
1510356489,4018,4078
1510356965,4018,4079
1510357926,4016,4077
1510359334,4016,4077
1510359611,4018,4079
1510361289,4020,4081
1510362245,4019,4080
1510362725,4020,4081
1510363203,4018,4079
1510363693,4019,4080
1510364165,4018,4079
1510364648,4019,4080
1510365125,4017,4078
1510366085,4016,4077
1510366567,4017,4078
1510367045,4015,4076
1510367529,4017,4078
1510369448,4019,4080
1510370408,4018,4079
1510370890,4019,4080
1510371364,4017,4078
1510371850,4019,4080
1510372817,4018,4079
1510373285,4016,4077
1510375688,4015,4076
1510376167,4016,4077
1510376649,4015,4076
1510377126,4016,4077
1510380965,4017,4078
1510381925,4017,4078
1510382406,4018,4079
1510382885,4019,4080
1510385286,4018,4079
1510385764,4019,4080
1510389133,4017,4078
1510389605,4019,4080
1510390089,4017,4078
1510390571,4019,4080
1510393925,4018,4079
1510394425,4017,4078
1510398247,4016,4077
1510398730,4017,4078
1510399206,4015,4076
1510399689,4017,4078
1510403527,4016,4077
1510404007,4016,4077
1510404489,4016,4077
1510404965,4017,4078
1510405446,4015,4076
1510405927,4017,4078
1510407371,4019,4080
1510409767,4018,4079
1510410244,4019,4080
1510410726,4018,4079
1510411210,4019,4080
1510411688,4018,4079
1510412169,4017,4078
1510414565,4016,4077
1510415044,4017,4078
1510416486,4016,4077
1510417210,4017,4078
1510419124,4016,4077
1510419616,4017,4078
1510420091,4016,4077
1510420565,4014,4075
1510421044,4017,4078
1510422491,4019,4080
1510424413,4018,4079
1510426330,4016,4077
1510429925,4017,4078
1510430409,4019,4080
1510430885,4018,4079
1510431366,4017,4078
1510431845,4019,4080
1510432326,4017,4078
1510432805,4019,4080
1510433291,4019,4080
1510435209,4018,4079
1510435690,4019,4080
1510437616,4017,4078
1510439527,4016,4077
1510440004,4017,4078
1510440489,4018,4079
1510440966,4020,4081
1510441447,4019,4080
1510441930,4020,4081
1510442885,4019,4080
1510443366,4020,4081
1510445285,4019,4080
1510445779,4018,4079
1510446245,4020,4081
1510446738,4023,4084
1510447204,4024,4085
1510449608,4023,4084
1510450084,4021,4082
1510450565,4024,4085
1510451526,4022,4083
1510452486,4021,4082
1510452970,4022,4083
1510455851,4021,4082
1510456325,4022,4083
1510459690,4024,4085
1510463049,4023,4084
1510463530,4024,4085
1510467367,4023,4084
1510467845,4024,4085
1510468564,4022,4083
1510473659,4023,4084
1510480819,4026,4087
1510482247,4025,4086
1510482730,4026,4087
1510483205,4024,4085
1510483925,4024,4085
1510484651,4025,4086
1510485129,4025,4086
