DateTime,AddedIPs,RemovedIPs
1509723721,7,0
1509724321,5,0
1509724922,4,0
1509726122,1,0
1509726722,16,1
1509727321,3,0
1509728522,3,0
1509729122,3,1
1509729722,7,0
1509730321,4,1
1509730922,6,0
1509732122,7,1
1509733322,3,2
1509733921,2,0
1509734522,1,1
1509735722,0,7
1509736921,3,2
1509738121,6,2
1509738721,5,0
1509739321,6,0
1509739922,1,0
1509740522,1,0
1509741122,0,1
1509741722,2,0
1509742922,2,0
1509744121,2,0
1509744721,0,1
1509745922,9,1
1509746521,1,0
1509747122,2,0
1509747721,0,3
1509748321,2,2
1509748922,1,0
1509749521,3,0
1509751321,1,1
1509751922,5,1
1509752521,2,2
1509753122,2,4
1509932615,0,209
1509933721,8,1
1509934921,3,3
1509935521,3,1
1509936121,0,1
1509936721,2,0
1509937921,5,0
1509939121,2,1
1509939721,2,1
1509940321,6,0
1509940921,4,0
1509941521,1,0
1509942122,2,0
1509942721,2,0
1509943322,3,0
1509943921,0,2
1509944521,1,2
1509945122,1,0
1509946922,2,3
1509947522,1,1
1509948121,2,0
1509948721,2,1
1509950521,2,0
1509951721,1,0
1509952321,2,0
1509954121,2,1
1509957121,1,2
1509957721,1,0
1509959521,1,1
1509963121,3,0
1509963721,0,3
1509965521,0,1
1509966721,6,0
1509968521,4,0
1509969121,1,1
1509970321,1,0
1509971521,1,0
1509972121,2,0
1509973322,1,0
1509974521,3,0
1509975121,1,1
1509975721,1,0
1509976321,1,0
1509976921,2,0
1509977521,1,0
1509978121,5,0
1509978721,1,0
1509979321,0,1
1509979922,1,3
1509980521,5,0
1509981121,4,0
1509981721,1,0
1509982321,1,0
1509982921,4,0
1509983521,2,0
1509984121,2,0
1509984721,1,1
1509985922,1,0
1509987121,7,1
1509987721,3,0
1509991921,1,5
1509992521,2,3
1509993721,1,2
1509994322,2,0
1509994921,1,0
1509995521,2,0
1509996121,1,0
1509997322,2,1
1509997921,0,1
1509999121,1,1
1509999721,4,0
1510000321,1,0
1510000921,1,0
1510001521,1,0
1510002121,1,4
1510002721,3,0
1510005721,1,2
1510006321,2,0
1510008122,2,2
1510008721,0,2
1510009921,0,4
1510011121,0,1
1510013521,1,1
1510014721,1,0
1510015321,0,1
1510017721,0,1
1510019521,1,0
1510020121,0,1
1510020721,0,2
1510022521,1,0
1510024921,1,2
1510027921,9,0
1510029121,3,0
1510030321,3,1
1510031521,1,0
1510032721,2,0
1510033322,1,0
1510033921,1,0
1510034521,3,1
1510036921,0,3
1510037522,0,2
1510038721,1,0
1510039921,2,0
1510041121,2,2
1510045922,2,1
1510047121,1,0
1510048321,2,0
1510048921,0,1
1510049521,0,1
1510050721,0,3
1510053721,3,2
1510054321,0,2
1510055521,1,0
1510057321,0,2
1510058521,1,0
1510059122,1,1
1510060321,0,1
1510060921,1,2
1510061521,1,0
1510062121,2,0
1510063321,0,4
1510063921,0,2
1510064522,3,1
1510065121,2,0
1510066321,1,0
1510068121,3,0
1510068721,1,1
1510069321,1,0
1510070521,0,2
1510072321,2,0
1510072921,0,3
1510073522,8,8
1510075921,1,0
1510076521,1,0
1510078321,0,2
1510080121,1,0
1510080721,2,0
1510082521,1,1
1510084321,6,0
1510085521,0,1
1510087321,2,6
1510088521,0,2
1510089121,1,4
1510089721,1,3
1510090322,3,0
1510091521,1,1
1510092121,0,1
1510092721,1,0
1510094521,1,2
1510096321,1,0
1510097521,1,2
1510098721,1,0
1510100521,0,1
1510101121,0,1
1510102321,1,1
1510103521,2,0
1510104121,1,2
1510105321,1,0
1510106521,1,0
1510108321,0,2
1510109521,0,3
1510111921,1,4
1510113121,1,0
1510113721,0,2
1510114322,1,0
1510116121,2,4
1510116721,0,1
1510117922,0,1
1510118521,6,0
1510120921,0,1
1510121522,1,0
1510122721,1,2
1510126321,1,0
1510128122,1,0
1510128721,1,1
1510129321,0,2
1510130521,1,0
1510131121,0,3
1510132321,0,1
1510133521,1,1
1510134121,1,1
1510134721,2,0
1510135321,1,0
1510137121,1,0
1510138322,0,4
1510140121,2,0
1510141321,0,2
1510143121,0,1
1510143721,2,0
1510144321,0,4
1510145521,1,2
1510146721,2,1
1510147921,3,2
1510148521,0,1
1510149121,1,1
1510149722,1,0
1510151521,1,3
1510152721,0,1
1510155121,0,3
1510156321,1,0
1510157521,1,0
1510158721,2,1
1510159321,2,2
1510160521,0,3
1510162322,1,0
1510164721,0,1
1510167121,2,6
1510168321,0,1
1510169521,1,0
1510170121,0,2
1510170721,1,0
1510171321,2,0
1510173121,2,0
1510174321,0,1
1510174921,1,0
1510175521,0,1
1510176721,0,3
1510179121,1,0
1510180321,0,3
1510180921,1,2
1510182722,5,0
1510184521,1,0
1510188121,0,3
1510191121,0,1
1510192921,1,6
1510193521,2,0
1510195321,0,2
1510195921,0,1
1510197121,0,2
1510198322,2,1
1510198921,1,0
1510199521,0,1
1510201921,1,0
1510203121,0,1
1510204321,1,0
1510205521,0,1
1510206721,0,1
1510207921,0,2
1510209121,1,0
1510211521,1,0
1510212721,1,2
1510213321,0,1
1510214521,0,2
1510215721,0,1
1510220521,0,2
1510222921,1,0
1510223521,0,2
1510224721,1,0
1510225921,16,9
1510227121,37,0
1510227721,0,4
1510228322,1,0
1510229521,5,0
1510230122,5,4
1510230721,2,0
1510231321,0,1
1510231921,1,2
1510233121,5,0
1510234321,0,1
1510234922,3,2
1510235521,7,1
1510236121,0,10
1510236721,1,0
1510237321,0,9
1510237921,1,4
1510239721,0,3
1510240321,1,0
1510241521,0,6
1510242721,1,0
1510247521,1,1
1510249921,2,1
1510251721,1,2
1510252921,2,0
1510254721,1,0
1510255921,2,5
1510256521,2,0
1510257122,2,0
1510257721,0,6
1510260721,1,0
1510261321,1,0
1510263121,4,3
1510264321,2,3
1510266122,0,4
1510268521,3,2
1510269121,1,0
1510269721,1,0
1510270922,1,0
1510271521,1,0
1510272121,0,2
1510273921,0,3
1510276321,1,0
1510276921,0,2
1510277521,1,0
1510278722,0,1
1510279921,0,1
1510281721,1,0
1510282921,2,1
1510283521,0,2
1510285921,1,0
1510286521,0,2
1510288921,0,2
1510289521,0,5
1510290722,0,1
1510291921,0,1
1510292521,0,6
1510293121,2,0
1510294321,0,3
1510295521,0,3
1510296722,1,0
1510297922,1,3
1510298521,0,1
1510300321,1,0
1510301521,0,1
1510302722,1,0
1510305122,0,4
1510306921,0,1
1510307521,1,1
1510308721,2,1
1510311722,1,0
1510312321,0,1
1510313521,0,1
1510314721,0,1
1510317121,1,5
1510317721,0,1
1510318321,0,1
1510319521,2,8
1510321321,0,3
1510321921,1,0
1510324321,0,4
1510324921,1,0
1510325521,0,2
1510326721,1,0
1510327322,3,4
1510327921,1,0
1510329121,1,0
1510330321,1,1
1510331521,2,0
1510332721,0,1
1510333322,1,1
1510336321,1,1
1510338121,1,0
1510340521,0,1
1510341721,0,1
1510342321,0,2
1510343521,0,3
1510344121,1,0
1510345921,0,3
1510347121,1,0
1510347721,0,2
1510349521,0,1
1510351321,0,1
1510352521,0,1
1510353121,0,1
1510355522,0,3
1510356121,0,3
1510359121,2,2
1510360321,1,0
1510361521,0,1
1510363321,1,0
1510364521,0,4
1510365121,3,0
1510366321,1,2
1510366921,1,0
1510367521,1,1
1510368721,1,26
1510369921,0,2
1510370521,2,0
1510371121,1,6
1510371721,0,2
1510374121,0,4
1510374722,1,2
1510375922,0,1
1510377121,0,2
1510379522,0,2
1510380722,0,1
1510383122,3,0
1510383721,1,0
1510384321,2,0
1510385522,0,1
1510386721,0,1
1510389721,0,1
1510390321,0,1
1510390921,0,3
1510391521,3,0
1510393321,0,2
1510393921,1,2
1510395121,0,2
1510396321,1,0
1510396921,3,2
1510397521,0,2
1510398121,1,0
1510398722,0,1
1510399921,0,2
1510400521,0,5
1510402321,1,0
1510403521,0,1
1510404721,0,7
1510405321,0,3
1510405922,0,1
1510406521,1,0
1510407121,3,1
1510407721,0,5
1510408322,1,10
1510408921,3,0
1510409521,4,1
1510410121,1,3
1510410721,4,0
1510411321,4,0
1510412521,3,4
1510413121,1,1
1510414321,0,2
1510415521,3,1
1510418521,2,2
1510419121,2,0
1510421521,2,0
1510422721,0,3
1510424522,4,0
1510425121,0,1
1510425721,1,0
1510426321,2,0
1510427521,0,3
1510428721,5,2
1510429321,1,0
1510429921,2,0
1510431121,0,10
1510431722,1,0
1510432321,0,2
1510432921,1,0
1510433521,1,0
1510434721,1,0
1510436521,1,0
1510438321,0,3
1510439521,1,0
1510440121,1,1
1510440721,1,0
1510441321,1,0
1510441921,0,4
1510442521,1,3
1510443122,1,0
1510446721,1,0
1510447322,2,2
1510448521,0,4
1510449121,1,0
1510453921,0,2
1510456921,0,1
1510457521,0,2
1510458721,0,2
1510460521,0,1
1510461121,0,1
1510462921,0,2
1510465321,0,3
1510467721,0,1
1510468921,0,1
1510469522,2,6
1510470121,1,0
1510472521,0,3
1510473121,0,3
1510474921,0,3
1510477921,0,5
1510479121,0,2
1510479721,0,1
1510485121,1,0
