DateTime,Entries,UniqueIPs
1509744121,3095,3137
1509745922,3106,3148
1509746521,3108,3150
1509747122,3110,3152
1509748321,3111,3153
1509748922,3111,3153
1509749521,3114,3156
1509751321,3111,3153
1509751922,3114,3158
1509752521,3116,3160
1509753122,3119,3163
1509932615,2735,2775
1509933721,2744,2784
1509934921,2749,2789
1509935521,2752,2792
1509936121,2752,2792
1509936721,2754,2794
1509937321,2752,2792
1509937921,2761,2801
1509939121,2760,2800
1509939721,2763,2803
1509940321,2766,2806
1509940921,2771,2811
1509941521,2762,2802
1509942122,2755,2794
1509942721,2759,2798
1509943322,2762,2801
1509944521,2763,2802
1509945122,2766,2805
1509946922,2767,2806
1509947522,2768,2807
1509948121,2771,2810
1509948721,2772,2811
1509949321,2770,2809
1509950521,2773,2812
1509951121,2772,2811
1509951721,2774,2813
1509952321,2776,2815
1509954121,2777,2817
1509955321,2776,2816
1509956521,2777,2817
1509957121,2778,2818
1509957721,2777,2817
1509958322,2776,2816
1509959521,2777,2817
1509960122,2775,2815
1509961321,2766,2806
1509963121,2769,2809
1509965521,2767,2807
1509966721,2774,2815
1509968521,2780,2821
1509969121,2781,2822
1509970321,2783,2824
1509971521,2785,2826
1509972121,2783,2824
1509973322,2785,2826
1509974521,2788,2829
1509975121,2773,2814
1509975721,2765,2805
1509976321,2766,2806
1509976921,2765,2806
1509977521,2764,2805
1509978121,2771,2812
1509978721,2764,2805
1509979922,2765,2806
1509980521,2770,2812
1509981121,2773,2815
1509981721,2767,2809
1509982321,2768,2810
1509982921,2773,2816
1509983521,2753,2796
1509984121,2748,2792
1509984721,2750,2794
1509985922,2752,2796
1509987121,2754,2798
1509987721,2758,2802
1509988321,2757,2801
1509991921,2756,2799
1509992521,2757,2800
1509993121,2750,2793
1509993721,2752,2795
1509994322,2743,2786
1509994921,2743,2786
1509995521,2746,2789
1509996121,2742,2785
1509997322,2744,2787
1509997921,2743,2786
1509999121,2741,2784
1509999721,2742,2785
1510000321,2743,2786
1510000921,2744,2787
1510001521,2745,2788
1510002121,2746,2789
1510002721,2749,2792
1510005721,2746,2789
1510006321,2743,2786
1510008122,2745,2788
1510010521,2743,2786
1510013521,2744,2787
1510014721,2745,2788
1510015321,2731,2774
1510015921,2726,2769
1510017721,2724,2767
1510018322,2721,2764
1510019521,2720,2763
1510020121,2721,2764
1510020721,2722,2765
1510022521,2717,2760
1510024322,2714,2757
1510024921,2712,2755
1510026121,2711,2754
1510027921,2719,2762
1510029121,2722,2765
1510029721,2718,2761
1510030321,2720,2763
1510031521,2722,2765
1510032721,2721,2764
1510033322,2721,2764
1510033921,2718,2761
1510034521,2719,2762
1510037522,2700,2743
1510038721,2701,2744
1510039921,2703,2746
1510041121,2687,2730
1510042321,2685,2728
1510042921,2686,2729
1510045922,2688,2731
1510047121,2689,2732
1510048321,2686,2729
1510048921,2685,2728
1510050121,2686,2730
1510050721,2685,2729
1510052521,2686,2730
1510053721,2690,2734
1510054321,2682,2725
1510055521,2680,2723
1510056721,2672,2715
1510057321,2667,2710
1510058521,2668,2711
1510059122,2660,2703
1510060321,2658,2701
1510060921,2659,2702
1510061521,2659,2702
1510062121,2662,2705
1510063321,2661,2704
1510063921,2658,2701
1510064522,2658,2701
1510065121,2660,2703
1510066321,2661,2704
1510068121,2661,2705
1510068721,2657,2701
1510069321,2651,2695
1510071121,2649,2693
1510072321,2641,2685
1510073522,2650,2694
1510074722,2651,2695
1510075921,2651,2695
1510076521,2642,2686
1510077121,2643,2687
1510078321,2637,2681
1510080121,2638,2682
1510080721,2638,2682
1510082521,2639,2683
1510083121,2638,2682
1510084321,2643,2687
1510085521,2640,2684
1510087321,2642,2686
1510088521,2631,2675
1510089121,2627,2671
1510089721,2627,2671
1510090322,2630,2674
1510090921,2631,2675
1510091521,2632,2676
1510092721,2629,2673
1510093921,2615,2659
1510094521,2616,2660
1510096321,2616,2660
1510097521,2608,2651
1510098721,2607,2650
1510100521,2606,2649
1510101121,2604,2647
1510101721,2603,2646
1510102321,2604,2647
1510103521,2608,2651
1510104121,2609,2652
1510104721,2607,2650
1510105321,2608,2651
1510106521,2609,2652
1510108921,2610,2653
1510109521,2608,2651
1510110721,2606,2649
1510111921,2607,2650
1510113121,2601,2644
1510114322,2602,2645
1510116121,2604,2647
1510116721,2596,2639
1510118521,2598,2642
1510119121,2599,2643
1510120921,2591,2635
1510121522,2592,2636
1510122721,2593,2637
1510123921,2588,2632
1510125721,2587,2631
1510126321,2588,2632
1510127521,2584,2628
1510128122,2585,2629
1510128721,2586,2630
1510129321,2585,2628
1510130521,2587,2630
1510131121,2583,2626
1510133521,2583,2625
1510134121,2583,2624
1510134721,2587,2628
1510135321,2588,2629
1510137121,2587,2628
1510138322,2586,2627
1510139521,2586,2627
1510140121,2590,2631
1510141321,2590,2631
1510141921,2589,2630
1510143721,2586,2627
1510144321,2583,2624
1510145521,2583,2624
1510146721,2584,2625
1510147921,2583,2624
1510148521,2581,2622
1510149121,2581,2622
1510149722,2582,2623
1510150321,2579,2620
1510151521,2580,2621
1510152721,2581,2622
1510153322,2580,2621
1510155121,2578,2619
1510156321,2580,2621
1510157521,2577,2618
1510158721,2580,2621
1510159321,2582,2623
1510159921,2580,2621
1510160521,2574,2615
1510161121,2575,2616
1510162322,2575,2616
1510163522,2575,2616
1510164721,2573,2614
1510167121,2575,2616
1510168321,2576,2617
1510169521,2569,2610
1510170121,2566,2607
1510170721,2567,2608
1510171321,2564,2605
1510171921,2563,2604
1510173121,2567,2608
1510174321,2566,2607
1510174921,2567,2608
1510175521,2566,2607
1510177921,2565,2606
1510179121,2555,2596
1510180921,2555,2596
1510181521,2554,2595
1510182722,2558,2599
1510184521,2560,2601
1510185121,2557,2598
1510186321,2553,2594
1510188121,2546,2587
1510189921,2544,2585
1510190521,2545,2586
1510191121,2541,2581
1510192321,2540,2580
1510192921,2534,2573
1510193521,2535,2575
1510195321,2533,2573
1510195921,2523,2563
1510197121,2522,2562
1510198322,2522,2562
1510198921,2523,2563
1510199521,2520,2560
1510200721,2517,2557
1510201322,2516,2556
1510201921,2514,2554
1510204321,2503,2543
1510205521,2500,2540
1510207921,2490,2530
1510209121,2480,2520
1510210321,2477,2517
1510211521,2479,2519
1510212721,2469,2509
1510216321,2468,2508
1510218121,2455,2495
1510218721,2453,2493
1510221122,2450,2490
1510222921,2449,2489
1510223521,2448,2488
1510224721,2448,2488
1510225921,2465,2506
1510227121,2482,2541
1510227721,2483,2542
1510228322,2483,2543
1510229521,2476,2536
1510230122,2480,2540
1510230721,2482,2542
1510231321,2481,2541
1510231921,2482,2542
1510233121,2486,2548
1510234321,2477,2539
1510234922,2473,2535
1510235521,2469,2542
1510236121,2465,2538
1510236721,2458,2528
1510237921,2455,2526
1510239121,2446,2517
1510240321,2447,2518
1510241521,2446,2517
1510242721,2448,2519
1510243321,2447,2518
1510243921,2445,2516
1510244521,2438,2509
1510247521,2436,2507
1510248721,2434,2505
1510249921,2433,2506
1510251121,2431,2504
1510251721,2429,2502
1510252921,2428,2501
1510253521,2415,2488
1510254721,2408,2481
1510255921,2413,2486
1510256521,2414,2487
1510257122,2411,2484
1510257721,2407,2479
1510258321,2402,2474
1510259521,2400,2472
1510260721,2403,2475
1510261321,2405,2477
1510263121,2409,2481
1510264321,2409,2481
1510265521,2408,2480
1510266722,2405,2477
1510268521,2403,2476
1510269121,2403,2476
1510269721,2401,2474
1510270922,2402,2475
1510271521,2403,2476
1510272121,2394,2467
1510275121,2393,2466
