DateTime,AddedIPs,RemovedIPs
1510081921,8,8
1510082521,80,80
1510083121,80,80
1510084321,74,74
1510085521,77,77
1510087321,80,80
1510088521,69,69
1510089121,80,80
1510089721,77,77
1510090322,78,78
1510090921,80,80
1510091521,80,80
1510092121,79,79
1510092721,77,77
1510093921,79,79
1510094521,46,46
1510095721,80,80
1510096321,80,80
1510097521,55,55
1510098121,80,80
1510098721,80,80
1510099321,49,49
1510100521,72,72
1510101121,78,78
1510101721,80,80
1510102321,69,69
1510103521,54,54
1510104121,39,39
1510104721,80,80
1510105321,80,80
1510106521,78,78
1510107121,80,80
1510108321,76,76
1510108921,80,80
1510109521,61,61
1510110721,78,78
1510111321,80,80
1510111921,80,80
1510113121,75,75
1510113721,78,78
1510114322,80,80
1510114921,80,80
1510116121,66,66
1510116721,80,80
1510117922,63,63
1510118521,80,80
1510119121,80,80
1510119722,80,80
1510120921,75,75
1510121522,69,69
1510122721,80,80
1510123921,80,80
1510124521,79,79
1510125721,78,78
1510126321,71,71
1510127521,79,79
1510128122,79,79
1510128721,78,78
1510129321,80,80
1510129921,78,78
1510130521,80,80
1510131121,80,80
1510132321,72,72
1510133521,80,80
1510134121,24,24
1510134721,80,80
1510135321,80,80
1510136522,73,73
1510137121,74,74
1510138322,79,79
1510139521,80,80
1510140121,77,77
1510141321,76,76
1510141921,80,80
1510143121,77,77
1510143721,71,71
1510144321,65,65
1510145521,69,69
1510146721,77,77
1510147921,70,70
1510148521,79,79
1510149121,72,72
1510149722,68,68
1510150321,69,69
1510151521,26,26
1510152721,79,79
1510153322,80,80
1510153921,80,80
1510155121,70,70
1510156321,41,41
1510157521,80,80
1510158721,76,76
1510159321,77,77
1510159921,64,64
1510160521,78,78
1510161121,68,68
1510162322,80,80
1510162921,80,80
1510163522,79,79
1510164721,63,63
1510167121,76,76
1510168321,68,68
1510169521,53,53
1510170121,14,14
1510170721,78,78
1510171321,80,80
1510171921,80,80
1510173121,68,68
1510173721,80,80
1510174321,36,36
1510174921,79,79
1510175521,80,80
1510176121,79,79
1510176721,80,80
1510177921,79,79
1510179121,78,78
1510180321,41,41
1510180921,50,50
1510181521,70,70
1510182121,77,77
1510182722,77,77
1510183321,77,77
1510183921,67,67
1510184521,68,68
1510185121,80,80
1510186321,71,71
1510187521,56,56
1510188121,80,80
1510188722,76,76
1510189321,79,79
1510189921,80,80
1510190521,80,80
1510191121,80,80
1510192321,80,80
1510192921,80,80
1510193521,69,69
1510194121,80,80
1510195321,75,75
1510195921,80,80
1510197121,74,74
1510198322,76,76
1510198921,80,80
1510199521,80,80
1510200721,57,57
1510201322,80,80
1510201921,78,78
1510203121,80,80
1510203721,77,77
1510204321,80,80
1510205521,73,73
1510206721,77,77
1510207921,54,54
1510209121,78,78
1510210321,78,78
1510211521,66,66
1510212721,76,76
1510213321,80,80
1510214521,62,62
1510215122,80,80
1510215721,36,36
1510216321,56,56
1510216921,73,73
1510218121,77,77
1510218721,67,67
1510220521,57,57
1510221122,29,29
1510221721,24,24
1510222921,45,45
1510223521,28,28
1510224721,76,76
1510225321,28,28
1510225921,71,71
1510227121,68,68
1510227721,78,78
1510228322,80,80
1510229521,67,67
1510230122,76,76
1510230721,78,78
1510231321,80,80
1510231921,77,77
1510233121,79,79
1510234321,72,72
1510234922,80,80
1510235521,80,80
1510236121,80,80
1510236721,73,73
1510237321,79,79
1510237921,76,76
1510239121,71,71
1510239721,75,75
1510240321,53,53
1510241521,62,62
1510242721,77,77
1510243321,79,79
1510243921,65,65
1510244521,80,80
1510245121,77,77
1510246321,75,75
1510246921,78,78
1510247521,72,72
1510248721,67,67
1510249921,65,65
1510251121,78,78
1510251721,42,42
1510252921,62,62
1510253521,77,77
1510254721,77,77
1510255921,73,73
1510256521,65,65
1510257122,80,80
1510257721,1,1
1510258321,63,63
1510258921,73,73
1510259521,79,79
1510260721,72,72
1510261321,72,72
1510261921,71,71
1510263121,68,68
1510264321,33,33
1510265521,67,67
1510266122,15,15
1510266722,53,53
1510268521,74,74
1510269121,80,80
1510269721,74,74
1510270322,72,72
1510270922,79,79
1510271521,6,6
1510272121,77,77
1510272721,77,77
1510273321,76,76
1510273921,72,72
1510275121,76,76
1510275721,80,80
1510276321,80,80
1510276921,80,80
1510277521,80,80
1510278722,78,78
1510279921,63,63
1510280521,80,80
1510281121,80,80
1510281721,80,80
1510282322,80,80
1510282921,80,80
1510283521,77,77
1510284721,68,68
1510285321,32,32
1510285921,79,79
1510286521,76,76
1510287121,80,80
1510287721,75,75
1510288321,69,69
1510288921,80,80
1510289521,77,77
1510290722,76,76
1510291921,72,72
1510292521,80,80
1510293121,79,79
1510293722,55,55
1510294321,76,76
1510295521,57,57
1510296121,77,77
1510296722,70,70
1510297922,49,49
1510298521,54,54
1510299722,79,79
1510300321,80,80
1510301521,35,35
1510302121,78,78
1510302722,75,75
1510303922,74,74
1510304521,77,77
1510305122,34,34
1510305721,61,61
1510306321,13,13
1510306921,3,3
1510307521,72,72
1510308121,80,80
1510308721,80,80
1510309321,76,76
1510309921,8,8
1510311121,70,70
1510311722,62,62
1510312321,79,79
1510312921,70,70
1510313521,75,75
1510314121,79,79
1510314721,42,42
1510315921,44,44
1510317121,77,77
1510317721,77,77
1510318321,80,80
1510319521,71,71
1510320121,77,77
1510321321,77,77
1510321921,25,25
1510323122,80,80
1510324321,78,78
1510324921,78,78
1510325521,80,80
1510326721,80,80
1510327322,79,79
1510327921,15,15
1510328522,79,79
1510329121,80,80
1510330321,65,65
1510331521,49,49
1510332721,77,77
1510333322,72,72
1510333921,80,80
1510335121,64,64
1510335721,72,72
1510336321,76,76
1510336921,80,80
1510338121,76,76
1510338721,80,80
1510339321,80,80
1510339921,80,80
1510340521,78,78
1510341121,65,65
1510341721,80,80
1510342321,80,80
1510342921,74,74
1510343521,72,72
1510344121,80,80
1510344721,77,77
1510345921,75,75
1510347121,80,80
1510347721,80,80
1510348321,80,80
1510349521,80,80
1510350121,80,80
1510350721,80,80
1510351321,67,67
1510352521,56,56
1510353121,77,77
1510355522,61,61
1510356121,76,76
1510357321,21,21
1510357921,17,17
1510358521,78,78
1510359121,79,79
1510360321,77,77
1510361521,80,80
1510362721,77,77
1510363321,80,80
1510364521,80,80
1510365121,77,77
1510365721,76,76
1510366321,36,36
1510366921,34,34
1510367521,80,80
1510368721,79,79
1510369321,80,80
1510369921,80,80
1510370521,51,51
1510371121,77,77
1510371721,80,80
1510372321,77,77
1510372921,76,76
1510374121,74,74
1510374722,77,77
1510375321,80,80
1510375922,76,76
1510377121,80,80
1510378322,78,78
1510379522,76,76
1510380121,38,38
1510380722,77,77
1510381921,68,68
1510382521,78,78
1510383122,80,80
1510383721,75,75
1510384321,73,73
1510384922,69,69
1510385522,80,80
1510386721,80,80
1510387921,72,72
1510388521,78,78
1510389121,32,32
1510389721,76,76
1510390321,76,76
1510390921,71,71
1510391521,52,52
1510392121,68,68
1510393321,77,77
1510393921,80,80
1510395121,77,77
1510396321,80,80
1510396921,75,75
1510397521,75,75
1510398121,76,76
1510398722,80,80
1510399921,68,68
1510400521,80,80
1510401121,76,76
1510402321,80,80
1510403521,73,73
1510404721,71,71
1510405321,66,66
1510405922,38,38
1510406521,69,69
1510407121,78,78
1510407721,76,76
1510408322,80,80
1510408921,80,80
1510409521,66,66
1510410121,80,80
1510410721,80,80
1510411321,80,80
1510412521,80,80
1510413121,74,74
1510414321,77,77
1510414921,80,80
1510415521,80,80
1510416121,37,37
1510417321,60,60
1510418521,78,78
1510419121,80,80
1510420321,76,76
1510421521,75,75
1510422721,66,66
1510424522,70,70
1510425121,77,77
1510425721,59,59
1510426321,80,80
1510426921,52,52
1510427521,75,75
1510428721,75,75
1510429321,76,76
1510429921,60,60
1510431121,28,28
1510431722,80,80
1510432321,77,77
1510432921,80,80
1510433521,78,78
1510434721,73,73
1510435921,76,76
1510436521,80,80
1510437121,80,80
1510438321,38,38
1510439521,41,41
1510440121,67,67
1510440721,80,80
1510441321,80,80
1510441921,79,79
1510442521,80,80
1510443122,80,80
1510444321,78,78
1510445521,80,80
1510446721,74,74
1510447322,78,78
1510448521,72,72
1510449121,80,80
1510450321,65,65
1510451521,80,80
1510452121,77,77
1510453321,80,80
1510453921,78,78
1510454521,74,74
1510455121,80,80
1510456321,70,70
1510456921,80,80
1510457521,79,79
1510458721,67,67
1510459922,80,80
1510460521,80,80
1510461121,80,80
1510462321,80,80
1510462921,80,80
1510463521,80,80
1510464122,80,80
1510464721,80,80
1510465321,80,80
1510465921,80,80
1510466521,80,80
1510467721,80,80
1510468921,80,80
1510469522,80,80
1510470121,80,80
1510470721,80,80
1510471321,80,80
1510472521,80,80
1510473121,80,80
1510474322,5,5
1510474921,80,80
1510475521,80,80
1510476721,63,63
1510477921,80,80
1510479121,65,65
1510479721,80,80
1510480321,80,80
1510480922,80,80
1510481521,76,76
1510482721,45,45
1510483321,52,52
1510483921,80,80
1510484521,78,78
1510485121,79,79
1510485722,62,62
