DateTime,AddedIPs,RemovedIPs
1510099321,24,23
1510100521,41,42
1510101121,25,25
1510101721,34,34
1510102321,39,39
1510103521,25,25
1510104121,51,50
1510104721,36,37
1510105321,27,27
1510106521,38,38
1510107121,53,52
1510108321,53,53
1510108921,55,56
1510109521,41,41
1510110721,48,48
1510111321,20,20
1510111921,31,30
1510113121,31,31
1510113721,36,36
1510114322,23,23
1510114921,32,32
1510116121,43,43
1510116721,11,11
1510117922,21,22
1510118521,27,27
1510119121,19,19
1510119722,25,24
1510120921,65,65
1510121522,33,34
1510122721,42,42
1510123321,11,11
1510123921,36,36
1510124521,46,46
1510125721,41,41
1510126321,17,17
1510126921,38,38
1510127521,23,23
1510128122,22,22
1510128721,19,19
1510129321,24,24
1510129921,6,6
1510130521,9,9
1510131121,14,14
1510131722,30,30
1510132321,12,12
1510133521,40,39
1510134121,20,20
1510134721,10,10
1510135321,27,27
1510136522,31,31
1510137121,12,12
1510138322,43,44
1510138922,8,8
1510139521,27,26
1510140121,23,24
1510141321,33,33
1510141921,25,25
1510143121,30,30
1510143721,21,21
1510144321,38,38
1510145521,31,31
1510146121,19,18
1510146721,15,15
1510147921,22,22
1510148521,16,16
1510149121,17,17
1510149722,22,22
1510150321,15,16
1510150921,30,30
1510151521,15,15
1510152721,16,16
1510153322,5,5
1510153921,19,19
1510155121,28,28
1510155721,24,24
1510156321,28,27
1510157521,45,45
1510158121,20,20
1510158721,41,42
1510159321,53,53
1510159921,22,22
1510161121,50,50
1510162322,41,41
1510162921,11,11
1510163522,12,12
1510164721,33,33
1510167121,57,56
1510167721,19,19
1510168321,17,17
1510169521,50,50
1510170121,12,13
1510170721,21,21
1510171321,12,12
1510171921,19,18
1510173121,45,45
1510173721,24,24
1510174321,20,21
1510174921,13,13
1510175521,32,32
1510176121,28,28
1510176721,11,11
1510177321,23,23
1510177921,22,21
1510179121,61,61
1510179721,34,34
1510180321,14,14
1510180921,24,24
1510181521,24,25
1510182121,24,24
1510182722,22,22
1510183921,35,35
1510184521,18,18
1510185121,33,33
1510186321,44,43
1510187521,52,53
1510188722,54,54
1510189321,22,22
1510189921,35,35
1510190521,45,45
1510191121,26,26
1510191721,17,17
1510192321,25,25
1510192921,46,45
1510193521,23,23
1510194121,17,18
1510195321,42,42
1510195921,29,29
1510197121,40,40
1510197722,13,13
1510198322,32,32
1510198921,12,12
1510199521,26,26
1510200122,35,35
1510201322,51,51
1510201921,13,13
1510203121,46,46
1510203721,38,38
1510204321,33,33
1510205521,37,37
1510206721,23,23
1510207921,20,20
1510209121,49,49
1510210321,29,28
1510211521,21,21
1510212721,38,38
1510213321,15,15
1510214521,39,39
1510215122,17,17
1510215721,15,15
